Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,5.36,5.39,4.55,4.87,28347000,4.87
2015-12-28,5.57,5.63,5.24,5.36,26849800,5.36
2015-12-21,5.47,6.20,5.43,5.53,74676100,5.53
2015-12-14,5.10,5.60,5.06,5.51,46367100,5.51
2015-12-07,5.35,5.40,4.95,5.18,30930300,5.18
2015-11-30,5.04,5.65,4.74,5.32,78482700,5.32
2015-11-23,5.30,5.55,4.93,5.03,51642900,5.03
2015-11-16,4.96,5.49,4.94,5.28,57909000,5.28
2015-11-09,5.21,5.29,5.00,5.03,48331000,5.03
2015-11-02,4.98,5.35,4.93,5.29,41575700,5.29
2015-10-26,5.44,5.48,4.91,5.07,48422200,5.07
2015-10-19,4.84,5.35,4.66,5.28,81534000,5.28
2015-10-12,4.57,4.85,4.54,4.84,44379300,4.84
2015-10-05,4.34,4.55,4.34,4.53,11156600,4.53
2015-09-28,4.32,4.48,4.27,4.34,11266600,4.34
2015-09-21,4.39,4.60,4.27,4.31,24064500,4.31
2015-09-14,4.90,4.94,4.23,4.44,37490800,4.44
2015-09-07,4.51,4.90,4.45,4.80,31948700,4.80
2015-08-31,5.19,5.19,4.35,4.36,25746700,4.36
2015-08-24,5.50,5.66,4.50,5.20,48173700,5.20
2015-08-17,6.83,7.10,5.70,5.84,94325100,5.84
2015-08-10,6.34,7.02,6.28,6.80,96580300,6.80
2015-08-03,7.50,7.88,6.19,6.34,129909500,6.34
2015-07-27,7.20,7.67,5.93,7.30,143158700,7.30
2015-07-20,5.95,7.67,5.88,7.32,119492500,7.32
2015-07-13,6.21,6.74,5.05,5.88,102945300,5.88
2015-07-06,6.28,6.28,4.29,5.78,66875200,5.78
2015-06-29,7.79,7.89,5.72,5.72,90449900,5.72
2015-06-22,8.08,8.77,7.27,7.39,81877200,7.39
2015-06-15,9.05,9.70,8.08,8.08,114778300,8.08
2015-06-08,8.10,8.98,7.80,8.89,127277500,8.83
2015-06-01,7.06,8.04,6.97,8.01,117250000,7.96
2015-05-25,6.85,8.05,6.29,7.03,147698700,6.98
2015-05-18,6.05,6.97,6.05,6.86,82475900,6.82
2015-05-11,6.35,6.64,6.11,6.16,61043900,6.12
2015-05-04,6.78,7.11,5.83,6.10,72935200,6.06
2015-04-27,6.56,6.77,6.21,6.63,54627400,6.59
2015-04-20,6.85,7.34,6.46,6.56,106978400,6.52
2015-04-13,5.66,6.23,5.66,6.23,691500,6.19
2015-04-06,5.66,5.66,5.66,5.66,000,5.62
2015-03-30,5.66,5.66,5.66,5.66,000,5.62
2015-03-23,5.24,5.99,5.24,5.66,75617100,5.62
2015-03-16,4.42,5.45,4.42,5.18,141563300,5.15
2015-03-09,4.23,4.45,4.16,4.40,37563200,4.37
2015-03-02,4.44,4.48,4.13,4.24,31972200,4.21
2015-02-23,4.29,4.40,4.21,4.36,16646100,4.33
2015-02-16,4.20,4.30,4.19,4.29,6792800,4.26
2015-02-09,4.05,4.27,4.01,4.22,16335000,4.19
2015-02-02,4.18,4.39,4.02,4.06,25085600,4.03
2015-01-26,4.37,4.43,4.17,4.28,32284800,4.25
2015-01-19,4.25,4.48,4.03,4.40,52620500,4.37
2015-01-12,4.51,4.57,4.31,4.50,41542600,4.47
2015-01-05,4.96,5.27,4.58,4.61,146455700,4.58
2015-01-01,4.79,4.79,4.79,4.79,000,4.76
