Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,10.60,10.70,8.47,9.05,5722300,9.05
2015-12-28,10.63,10.76,10.20,10.60,5868200,10.60
2015-12-21,10.24,10.85,10.22,10.42,7076500,10.42
2015-12-14,9.96,10.56,9.80,10.29,6881700,10.29
2015-12-07,10.32,10.45,9.79,9.93,5115400,9.93
2015-11-30,10.25,10.54,9.61,10.36,6532400,10.36
2015-11-23,11.20,11.44,10.18,10.30,13793800,10.30
2015-11-16,10.64,11.40,10.50,11.21,12520400,11.21
2015-11-09,11.40,11.66,10.76,10.80,16740200,10.80
2015-11-02,9.45,11.67,9.45,11.67,9354500,11.67
2015-10-26,10.50,10.74,9.82,10.21,7568000,10.21
2015-10-19,9.85,10.57,9.38,10.30,9862700,10.30
2015-10-12,9.22,9.85,9.17,9.81,7992900,9.81
2015-10-05,8.83,9.25,8.83,9.20,2244700,9.20
2015-09-28,8.78,8.90,8.50,8.83,1650000,8.83
2015-09-21,8.69,9.16,8.60,8.70,5227200,8.70
2015-09-14,9.63,9.65,8.32,8.75,3747600,8.75
2015-09-07,9.12,9.89,8.70,9.57,4578100,9.57
2015-08-31,9.80,9.81,8.10,9.17,3777200,9.17
2015-08-24,10.36,10.60,8.45,10.00,8167300,10.00
2015-08-17,12.30,12.74,10.49,10.80,9728100,10.80
2015-08-10,11.32,12.99,11.32,12.38,11903200,12.38
2015-08-03,9.99,11.57,9.99,11.30,7798400,11.30
2015-07-27,12.09,12.42,10.15,10.56,10940300,10.56
2015-07-20,11.98,13.20,11.52,12.53,15590600,12.53
2015-07-13,11.60,13.29,10.05,11.97,16275500,11.97
2015-07-06,13.30,13.32,8.69,11.24,27482500,11.24
2015-06-29,12.99,15.98,11.38,12.13,27880500,12.13
2015-06-22,14.83,15.30,12.64,12.64,10486300,12.64
2015-06-15,19.46,19.70,14.76,14.83,15995000,14.83
2015-06-08,20.59,20.60,18.27,19.46,21658200,19.46
2015-06-01,18.40,21.97,17.52,20.62,35980000,20.62
2015-05-25,30.00,34.30,16.28,18.40,36725000,18.40
2015-05-18,25.37,30.60,25.37,29.55,24608200,14.553
2015-05-11,24.40,27.50,23.97,25.79,23508600,12.702
2015-05-04,24.32,25.80,23.00,24.20,14915900,11.919
2015-04-27,25.27,25.69,23.65,24.18,11080500,11.909
2015-04-20,25.50,26.70,23.69,25.27,24725600,12.446
2015-04-13,26.36,30.68,25.62,25.97,24584500,12.79
2015-04-06,26.31,27.00,24.35,26.19,13840800,12.899
2015-03-30,22.30,27.00,22.30,26.31,21383200,12.958
2015-03-23,20.36,22.25,19.65,21.97,18142600,10.82
2015-03-16,19.10,20.78,19.03,20.35,13161300,10.022
2015-03-09,18.01,19.38,17.70,19.09,12108500,9.402
2015-03-02,18.10,18.86,17.87,18.00,13193600,8.865
2015-02-23,16.82,18.49,16.68,18.11,11936000,8.919
2015-02-16,17.08,17.39,16.66,16.82,5293100,8.284
2015-02-09,16.84,17.17,16.31,17.11,5245600,8.427
2015-02-02,16.62,17.38,16.57,16.82,6983300,8.284
2015-01-26,16.98,17.77,16.80,16.85,12600300,8.299
2015-01-19,16.10,17.00,15.56,16.97,9396500,8.358
2015-01-12,16.00,16.44,15.67,16.38,4408900,8.067
2015-01-05,16.05,16.54,15.98,16.12,7455600,7.939
2015-01-01,16.23,16.23,16.23,16.23,000,7.993
