Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,49.78,49.80,38.00,40.91,2529100,40.91
2015-12-28,55.80,56.20,49.70,49.74,2150400,49.74
2015-12-21,55.55,56.50,53.81,55.74,3065700,55.74
2015-12-14,52.70,58.48,52.02,55.88,4190900,55.88
2015-12-07,58.49,58.86,53.01,53.35,4302100,53.35
2015-11-30,55.05,62.48,51.10,58.10,9264900,58.10
2015-11-23,48.16,57.82,47.31,54.38,8765000,54.38
2015-11-16,44.30,49.40,43.80,48.30,4862900,48.30
2015-11-09,43.80,52.99,43.10,46.70,8683600,46.70
2015-11-02,34.98,45.00,34.01,44.48,7203200,44.48
2015-10-26,35.00,37.26,34.01,35.95,4079000,35.95
2015-10-19,34.66,35.99,32.06,34.81,3748100,34.81
2015-10-12,31.50,34.79,31.40,34.56,3811700,34.56
2015-10-05,29.52,31.45,29.52,31.24,1094500,31.24
2015-09-28,29.00,29.96,28.60,29.52,944800,29.52
2015-09-21,28.50,31.22,28.25,28.89,2975600,28.89
2015-09-14,30.87,31.01,26.10,28.80,2713100,28.80
2015-09-07,27.98,32.16,27.98,30.87,3016000,30.87
2015-08-31,32.73,33.30,26.30,27.43,1766100,27.43
2015-08-24,34.50,34.60,28.42,33.48,3737600,33.48
2015-08-17,47.00,47.00,36.11,36.30,3962700,36.30
2015-08-10,47.23,50.38,44.50,46.94,6244300,46.94
2015-08-03,44.00,51.80,43.01,47.07,10529700,47.07
2015-07-27,44.00,47.08,36.88,44.24,6966000,44.24
2015-07-20,40.90,48.99,39.60,45.53,8120400,45.53
2015-07-13,42.25,46.01,35.39,41.06,6937800,41.06
2015-07-06,41.24,41.24,30.00,38.42,4364900,38.42
2015-06-29,46.48,46.48,35.40,37.49,5752800,37.49
2015-06-22,51.76,55.69,45.19,45.19,3886800,45.19
2015-06-15,66.01,66.40,51.00,51.76,6705000,51.76
2015-06-08,70.66,83.41,62.90,70.52,11685800,70.52
2015-06-01,80.10,98.99,78.51,78.51,6573700,78.51
2015-05-25,49.74,72.82,49.74,72.82,313600,72.82
2015-05-18,30.88,45.22,30.88,45.22,37800,45.22
2015-05-13,19.33,28.07,19.33,28.07,22800,28.07
