Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,6.33,6.36,5.73,5.90,146288600,5.90
2015-12-28,6.73,6.75,6.33,6.34,110818900,6.34
2015-12-21,6.46,6.85,6.45,6.58,238387700,6.58
2015-12-14,6.17,6.73,6.15,6.50,193485300,6.50
2015-12-07,6.53,6.55,6.19,6.22,134795400,6.22
2015-11-30,6.24,7.00,6.04,6.51,320764400,6.51
2015-11-23,6.78,6.87,6.18,6.22,201887700,6.22
2015-11-16,6.71,7.04,6.67,6.77,285518400,6.77
2015-11-09,7.06,7.44,6.79,6.84,475013100,6.84
2015-11-02,6.21,7.15,6.07,7.10,545337400,7.10
2015-10-26,6.48,6.57,6.16,6.21,146851600,6.21
2015-10-19,6.30,6.75,6.17,6.41,331570400,6.41
2015-10-12,6.03,6.34,6.01,6.28,188890100,6.28
2015-10-05,5.78,6.07,5.78,5.99,40333100,5.99
2015-09-28,6.02,6.03,5.76,5.78,49402200,5.78
2015-09-21,6.23,6.37,5.88,6.06,160639800,6.06
2015-09-14,6.08,6.38,5.77,6.23,325052500,6.23
2015-09-07,6.24,6.44,5.68,5.98,224406100,5.98
2015-08-31,5.79,6.35,5.51,6.25,372096900,6.25
2015-08-24,6.29,6.30,4.88,5.87,493781400,5.87
2015-08-17,7.61,7.61,6.50,6.54,330483200,6.54
2015-08-10,7.50,7.90,7.42,7.64,508392000,7.64
2015-08-03,6.91,7.58,6.89,7.20,310837500,7.20
2015-07-27,7.99,8.12,6.60,6.96,465911100,6.96
2015-07-20,8.07,8.40,7.89,8.01,589879100,8.01
2015-07-13,8.65,9.08,7.32,8.14,762706200,8.14
2015-07-06,7.46,8.77,6.80,8.70,1251007500,8.70
2015-06-29,8.06,8.37,6.69,6.78,810929600,6.78
2015-06-22,8.05,8.74,7.45,7.72,562832100,7.72
2015-06-15,9.77,9.86,7.97,8.05,619365800,8.05
2015-06-08,10.23,10.55,9.66,9.76,943783100,9.59
2015-06-01,9.32,10.30,9.07,10.15,973946500,9.97
2015-05-25,10.28,11.25,8.80,9.31,1174583200,9.14
2015-05-18,9.38,10.53,9.20,10.29,858276100,10.11
2015-05-11,9.76,10.41,9.44,9.51,983823300,9.34
2015-05-04,11.20,12.52,9.15,9.77,1601662000,9.60
2015-04-27,9.45,10.90,9.35,10.90,1393475500,10.71
2015-04-20,9.14,9.93,8.83,9.34,1653739700,9.17
2015-04-13,7.60,9.19,7.54,9.03,1327011500,8.87
2015-04-06,7.53,8.05,7.40,7.58,644049800,7.45
2015-03-30,7.42,8.28,7.31,7.53,1166371400,7.40
2015-03-23,6.82,7.39,6.62,7.22,961381300,7.09
2015-03-16,6.29,6.94,6.24,6.72,758967200,6.60
2015-03-09,6.00,6.44,5.89,6.25,368405500,6.14
2015-03-02,6.51,6.54,5.96,6.05,416284400,5.94
2015-02-23,6.00,6.56,5.87,6.41,379797200,6.30
2015-02-16,5.94,6.07,5.89,6.00,119765600,5.89
2015-02-09,5.52,6.02,5.50,5.91,314619800,5.80
2015-02-02,5.69,6.06,5.45,5.53,443936900,5.43
2015-01-26,6.23,6.44,5.86,5.88,475714100,5.78
2015-01-19,6.20,6.39,5.92,6.23,655741800,6.12
2015-01-12,6.58,6.87,6.24,6.68,527009600,6.56
2015-01-05,7.28,7.57,6.53,6.65,953451300,6.53
2015-01-01,7.28,7.28,7.28,7.28,000,7.15
