Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,68.03,68.03,46.00,49.11,2501800,49.11
2015-12-28,70.21,74.00,66.00,68.84,1819600,68.84
2015-12-21,65.99,72.51,64.81,70.66,2591500,70.66
2015-12-14,60.00,69.40,58.00,66.67,2909900,66.67
2015-12-07,62.01,65.59,60.00,60.86,2875200,60.86
2015-11-30,69.00,76.10,59.85,62.45,5819300,62.45
2015-11-23,56.53,72.37,54.88,72.36,6590500,72.36
2015-11-16,55.19,59.98,53.74,56.53,3123700,56.53
2015-11-09,54.91,67.00,54.91,58.55,4393800,58.55
2015-11-02,45.49,53.74,44.05,53.74,4429400,53.74
2015-10-26,40.49,46.46,37.38,46.46,3267000,46.46
2015-10-19,40.90,44.90,36.81,40.25,2769300,40.25
2015-10-12,38.25,42.00,37.90,41.61,2753700,41.61
2015-10-05,37.27,39.78,37.27,38.07,931500,38.07
2015-09-28,35.21,39.10,32.20,37.27,2254000,37.27
2015-09-21,28.40,37.00,27.96,35.09,4671500,35.09
2015-09-14,31.50,31.99,25.88,28.71,2873700,28.71
2015-09-07,26.01,32.88,25.50,31.94,4419000,31.94
2015-08-31,33.51,33.98,25.17,25.32,1983400,25.32
2015-08-24,35.35,35.45,27.99,34.52,3669700,34.52
2015-08-17,48.20,49.05,36.71,36.93,4302800,36.93
2015-08-10,44.20,53.30,43.49,49.82,7699000,49.82
2015-08-03,49.50,50.80,41.22,44.48,7357500,44.48
2015-07-27,46.75,51.05,38.30,50.64,8878900,50.64
2015-07-20,36.40,52.17,35.71,46.41,6973600,46.41
2015-07-13,36.69,40.36,32.69,37.20,4467100,37.20
2015-07-06,43.55,44.10,33.35,33.35,1924000,33.35
2015-06-29,54.00,62.50,40.87,40.87,9002800,40.87
2015-06-22,52.44,63.45,51.00,54.18,11095200,54.18
2015-06-15,35.82,52.44,35.82,52.44,3074100,52.44
2015-06-08,22.24,32.56,22.24,32.56,7700,32.56
2015-06-01,13.81,20.22,13.81,20.22,5600,20.22
2015-05-27,8.64,12.55,8.64,12.55,5100,12.55
