Date,Open,High,Low,Close,Volume,Adj Close,I,j,RSV,K,D,J,KDJ_s,X,A,B,RSI,RSI_s,F,FI,FI_s,EMA,EMA_s,close_s,signal,price,buy,sell,profit
2015-06-11,13.62,17.97,13.62,17.97,11500,17.97,,,,50.0,50.0,0.0,0.0,-12.96,0.0,0.0,0.0,0.0,-176.5152,0.0,0.0,0.0,0.0,0.0,0.0,17.97,0.0,0.0,0.0
2015-06-15,19.77,28.95,19.77,28.95,50300,28.95,,,,50.0,50.0,0.0,0.0,10.98,0.0,0.0,0.0,0.0,217.0746,0.0,0.0,0.0,0.0,1.0,0.0,28.95,0.0,0.0,0.0
2015-06-22,28.95,42.39,28.95,42.39,4898900,42.39,,,,50.0,50.0,0.0,0.0,13.44,0.0,0.0,0.0,0.0,389.088,0.0,0.0,0.0,0.0,1.0,0.0,42.39,0.0,0.0,0.0
2015-06-29,38.15,39.88,25.09,25.09,9225100,25.09,,,,50.0,50.0,0.0,0.0,-17.3,0.0,0.0,0.0,0.0,-434.057,0.0,0.0,0.0,0.0,0.0,0.0,25.09,0.0,0.0,0.0
2015-07-06,27.6,27.6,16.46,22.13,5428600,22.13,,,,50.0,50.0,0.0,0.0,-2.96,0.0,0.0,0.0,0.0,-48.7216,0.0,0.0,22.88,1.0,0.0,0.0,22.13,0.0,0.0,0.0
2015-07-13,24.34,26.77,21.68,24.02,9131800,24.02,10.4,28.77,36.1487660758,45.3829220253,48.4609740084,39.2268180589,1.0,1.89,24.42,-33.22,42.3664122137,1.0,40.9752,-18.8226666667,0.0,23.26,1.0,1.0,0.0,24.02,0.0,0.0,0.0
2015-07-20,24.0,28.87,22.6,27.25,8345000,27.25,10.79,25.93,41.6120323949,44.1259588151,47.015968944,38.3459385574,0.0,3.23,26.31,-20.26,56.4955980245,1.0,72.998,51.6494666667,1.0,24.59,1.0,1.0,0.0,27.25,0.0,0.0,0.0
2015-07-27,26.0,30.09,22.08,30.09,8762400,30.09,13.63,25.93,52.5645969919,46.9388382074,46.9902586985,46.8359972253,1.0,2.84,18.56,-20.26,47.8104070067,0.0,62.7072,69.5677333333,1.0,26.4233333333,1.0,1.0,0.0,30.09,0.0,0.0,0.0
2015-08-03,33.1,48.47,33.1,48.47,15977500,48.47,32.01,23.42,136.678052946,76.851909787,56.9441423946,116.667444572,1.0,18.38,7.96,-20.26,28.2069454288,0.0,608.378,244.597466667,1.0,33.7722222222,1.0,1.0,0.0,48.47,0.0,0.0,0.0
2015-08-10,51.0,53.32,42.74,48.59,18441000,48.59,32.13,32.01,100.374882849,84.6929008077,66.1937285323,121.691245358,1.0,0.12,26.34,-2.96,89.8976109215,1.0,5.1288,407.294933333,1.0,38.7114814815,1.0,1.0,1.0,48.59,48.59,0.0,0.0
