,FundCode,FundName,Benchmark,IndexCode,IndexName
91,512110,华安中证细分地产ETF,中证细分房地产产业主题指数收益率,000816,细分地产
92,512120,华安中证细分医药ETF,中证细分医药产业主题指数收益率,000814,细分医药
93,512210,景顺长城中证800食品饮料ETF,中证800食品饮料指数,H30021,800食品
94,512220,景顺长城中证TMT150ETF,中证TMT150指数,H30318,TMT150
95,512230,景顺长城中证医药卫生ETF,中证医药卫生指数,000933,中证医药
96,512300,南方中证500医药卫生ETF,中证500医药卫生指数,H30255,中证500医药
97,512310,南方中证500工业ETF,中证500工业指数,H30252,中证500工业
98,512330,南方中证500信息技术ETF,中证500信息技术指数,H30257,中证500信息
99,512340,南方中证500原材料ETF,中证500原材料指数,H30251,500原料
100,512500,华夏中证500ETF,中证500指数,000905,中证500
101,512510,华泰柏瑞中证500ETF,中证500指数,000905,中证500
102,512600,嘉实中证主要消费ETF,中证主要消费指数收益率,000932,中证消费
103,512610,嘉实中证医药卫生ETF,中证医药卫生指数收益率,000933,中证医药
104,512640,嘉实中证金融地产ETF,中证金融地产指数收益率,000934,中证金融
105,512990,华夏MSCI中国A股ETF,MSCI中国A股指数收益率,133333,MSCI中国A股
106,513030,华安德国30(DAX)ETF,德国DAX指数（DAX Index）经汇率调整后的总收益指数收益率,GDAXI ,DAX
107,513100,国泰纳斯达克100ETF,纳斯达克100指数(Nasdaq-100 Index)收益率(经汇率调整后的总收益指数收益率),      ,纳斯达克100
108,513500,博时标普500ETF,"标普500指数(S&P 500 Index(NTR,Net total Return))(经估值汇率调整,以人民币计价)",SPX   ,标普500
109,513600,南方恒生ETF,恒生指数（使用估值汇率调整）,HSI   ,恒生指数
110,513660,华夏沪港通恒生ETF,经估值汇率调整的恒生指数收益率,HSI   ,恒生指数
111,518800,国泰黄金基金,,,
112,518880,华安黄金ETF,,,
