Date,Open,High,Low,Close,Volume,Adj Close,I,j,RSV,K,D,J,KDJ_s,X,A,B,RSI,RSI_s,F,FI,FI_s,EMA,EMA_s,close_s,signal,price,buy,sell,profit
2015-04-24,23.91,26.09,23.91,26.09,14400,13.023,,,,50.0,50.0,0.0,0.0,-30.977,0.0,0.0,0.0,0.0,-740.66007,0.0,0.0,0.0,0.0,0.0,0.0,13.023,0.0,0.0,0.0
2015-04-27,28.7,38.2,28.7,38.2,6000,19.067,,,,50.0,50.0,0.0,0.0,6.044,0.0,0.0,0.0,0.0,173.4628,0.0,0.0,0.0,0.0,1.0,0.0,19.067,0.0,0.0,0.0
2015-05-04,42.02,61.51,42.02,61.51,171200,30.703,,,,50.0,50.0,0.0,0.0,11.636,0.0,0.0,0.0,0.0,488.94472,0.0,0.0,0.0,0.0,1.0,0.0,30.703,0.0,0.0,0.0
2015-05-11,67.66,99.07,67.66,99.07,64200,49.451,,,,50.0,50.0,0.0,0.0,18.748,0.0,0.0,0.0,0.0,1268.48968,0.0,0.0,0.0,0.0,1.0,0.0,49.451,0.0,0.0,0.0
2015-05-18,108.98,159.57,108.98,159.57,225800,79.649,,,,50.0,50.0,0.0,0.0,30.198,0.0,0.0,0.0,0.0,3290.97804,0.0,0.0,22.4488,1.0,1.0,0.0,79.649,0.0,0.0,0.0
2015-05-25,175.53,233.63,175.53,220.0,2704200,109.813,85.903,135.66,63.3222762789,54.4407587596,51.4802529199,60.3617704392,1.0,30.164,66.626,-30.977,68.2622460375,1.0,5294.68692,3958.881,1.0,51.5702,1.0,1.0,1.0,109.813,109.813,0.0,0.0
2015-06-01,212.0,219.87,166.01,190.33,5310300,95.003,66.303,204.93,32.3539745279,47.0784973491,50.0130010629,41.2094899213,0.0,-14.81,96.79,0.0,100.0,1.0,-2458.6081,2710.25524667,0.0,66.0478,1.0,0.0,0.0,95.003,0.0,0.0,0.0
2015-06-08,189.0,199.98,168.5,185.98,4510700,92.99,50.97,191.61,26.6009080946,40.2526342642,46.7595454634,27.2388118659,0.0,-2.013,90.746,-14.81,85.9695327599,0.0,-339.1905,-1752.13556667,0.0,75.0285333333,1.0,0.0,0.0,92.99,0.0,0.0,0.0
2015-06-15,179.6,181.0,126.36,126.36,1925700,63.18,-4.48,165.97,-2.69928300295,25.9353285085,39.8181398117,-1.83029409799,0.0,-29.81,79.11,-16.823,82.4638028624,0.0,-3766.7916,-1481.7242,1.0,71.0790222222,0.0,0.0,0.0,63.18,0.0,0.0,0.0
2015-06-22,126.36,136.8,109.89,109.89,1233800,54.945,-54.035,124.65,-43.3493782591,2.84042625263,27.492235292,-46.4631918262,0.0,-8.235,60.362,-46.633,56.4157203608,0.0,-904.94415,-2812.84245,0.0,65.7010148148,0.0,0.0,-1.0,54.945,0.0,54.945,-0.499649403987
2015-06-29,112.8,113.98,75.2,75.2,1578100,37.6,-72.29,123.74,-58.4208824956,-17.5800099968,12.4681535291,-77.6763370485,0.0,-17.345,30.164,-54.868,35.4737040173,0.0,-1304.344,-1038.07743333,1.0,56.3340098765,0.0,0.0,0.0,37.6,0.0,0.0,0.0
2015-07-06,82.72,82.72,58.41,70.82,1944000,35.41,-39.79,144.67,-27.5039745628,-20.8879981854,1.34943629092,-65.3628671382,1.0,-2.19,0.0,-72.213,0.0,0.0,-127.9179,-912.201966667,1.0,49.3593399177,0.0,0.0,0.0,35.41,0.0,0.0,0.0
2015-07-13,77.9,100.01,74.78,99.8,2815500,49.9,-8.51,141.57,-6.01116055662,-15.9290523092,-4.41005990911,-38.9670371093,1.0,14.49,0.0,-59.593,0.0,0.0,1083.5622,275.9088,1.0,49.5395599451,1.0,1.0,0.0,49.9,0.0,0.0,0.0
2015-07-20,98.6,116.97,93.0,107.03,3119700,53.515,-4.895,122.59,-3.9929847459,-11.9503631214,-6.92349431321,-22.0041007378,1.0,3.615,14.49,-57.58,20.1054530318,1.0,336.195,834.4398,1.0,50.8647066301,1.0,1.0,1.0,53.515,53.515,0.0,0.0
2015-07-27,104.0,111.75,86.08,91.5,2442500,45.75,-12.66,78.39,-16.1500191351,-13.3502484593,-9.06574569524,-21.9192539874,1.0,-7.765,18.105,-27.77,39.4659400545,1.0,-668.4112,1.32626666667,0.0,49.1598044201,0.0,0.0,-1.0,45.75,0.0,45.75,-0.145099504812
2015-08-03,88.03,92.1,82.35,91.8,1928300,45.9,-12.51,58.56,-21.362704918,-16.0210672789,-11.3841862231,-25.2948293904,0.0,0.15,18.105,-27.3,39.8744631648,1.0,12.3525,-441.489966667,0.0,48.0732029467,0.0,1.0,0.0,45.9,0.0,0.0,0.0
2015-08-10,93.0,104.0,91.02,101.28,2265600,50.64,-7.77,58.56,-13.268442623,-15.1035257269,-12.6239660577,-20.0626450653,1.0,4.74,18.255,-9.955,64.7110953563,1.0,431.4348,152.0466,1.0,48.9288019645,1.0,1.0,1.0,50.64,50.64,0.0,0.0
2015-08-17,100.0,100.6,79.0,80.0,1587800,40.0,-34.78,42.19,-82.4365963498,-37.5478826012,-20.9319382389,-70.7797713259,0.0,-10.64,22.995,-7.765,74.7561768531,1.0,-840.56,7.43653333333,0.0,45.952534643,0.0,0.0,-1.0,40.0,0.0,40.0,-0.210110584518
2015-08-24,75.8,77.0,61.8,72.85,1508300,36.425,-42.575,37.97,-112.127995786,-62.4079203295,-34.7572656024,-117.709229784,0.0,-3.575,8.505,-18.405,31.6053511706,0.0,-220.935,-634.018333333,0.0,42.776689762,0.0,0.0,0.0,36.425,0.0,0.0,0.0
2015-08-31,71.8,71.8,55.33,58.35,731800,29.175,-32.625,49.95,-65.3153153153,-63.3770519915,-44.2971943988,-101.536767177,1.0,-7.25,4.89,-21.98,18.1987346483,0.0,-401.1425,-281.004166667,1.0,38.2427931747,0.0,0.0,0.0,29.175,0.0,0.0,0.0
