Date,Open,High,Low,Close,Volume,Adj Close,I,j,RSV,K,D,J,KDJ_s,X,A,B,RSI,RSI_s,F,FI,FI_s,EMA,EMA_s,close_s,signal,price,buy,sell,profit
2015-01-01,29.46,29.46,29.46,29.46,0,29.317,,,,50.0,50.0,0.0,0.0,-15.283,0.0,0.0,0.0,0.0,-450.23718,0.0,0.0,0.0,0.0,0.0,0.0,29.317,0.0,0.0,0.0
2015-01-05,29.66,32.28,28.55,31.7,2792000,31.546,,,,50.0,50.0,0.0,0.0,2.229,0.0,0.0,0.0,0.0,63.63795,0.0,0.0,0.0,0.0,1.0,0.0,31.546,0.0,0.0,0.0
2015-01-12,31.7,32.0,29.01,29.92,2003100,29.774,,,,50.0,50.0,0.0,0.0,-1.772,0.0,0.0,0.0,0.0,-51.40572,0.0,0.0,0.0,0.0,0.0,0.0,29.774,0.0,0.0,0.0
2015-01-19,29.38,32.88,28.65,31.3,2550500,31.148,,,,50.0,50.0,0.0,0.0,1.374,0.0,0.0,0.0,0.0,39.3651,0.0,0.0,0.0,0.0,1.0,0.0,31.148,0.0,0.0,0.0
2015-01-26,31.16,32.22,29.91,29.98,1659400,29.834,,,,50.0,50.0,0.0,0.0,-1.314,0.0,0.0,0.0,0.0,-39.30174,0.0,0.0,24.357,1.0,0.0,0.0,29.834,0.0,0.0,0.0
2015-02-02,29.8,31.2,29.41,29.47,942700,29.327,0.777,4.33,17.9445727483,39.3148575828,46.4382858609,25.0680010264,1.0,-0.507,3.603,-18.369,16.3981430912,1.0,-14.91087,-31.17145,0.0,26.0136666667,1.0,0.0,0.0,29.327,0.0,0.0,0.0
2015-02-09,29.49,31.15,29.08,30.66,682500,30.511,1.961,4.33,45.2886836028,41.3061329228,44.7275682149,34.4632623386,1.0,1.184,3.603,-3.593,50.0694830461,1.0,34.43072,1.53632666667,1.0,27.5127777778,1.0,1.0,1.0,30.511,30.511,0.0,0.0
2015-02-16,30.87,31.09,30.52,30.95,420800,30.799,2.149,4.23,50.8037825059,44.4720161171,44.6423841823,44.1312799868,1.0,0.288,2.558,-3.593,41.5867338644,0.0,8.78976,25.8837333333,1.0,28.6081851852,1.0,1.0,0.0,30.799,0.0,0.0,0.0
2015-02-23,30.95,31.5,30.5,31.09,615600,30.939,2.289,4.23,54.1134751773,47.6858358039,45.6568680561,51.7437712993,1.0,0.14,2.846,-1.821,60.9813584744,1.0,4.27,7.28317333333,0.0,29.3851234568,1.0,1.0,0.0,30.939,0.0,0.0,0.0
2015-03-02,31.12,36.71,31.02,33.39,3235700,33.227,4.147,3.14,132.070063694,75.8139117673,55.7092159599,116.023303382,1.0,2.288,1.612,-1.821,46.9560151471,0.0,70.97376,26.5045866667,1.0,30.6657489712,1.0,1.0,0.0,33.227,0.0,0.0,0.0
2015-03-09,33.27,33.86,31.95,33.43,1377900,33.267,4.187,7.63,54.875491481,68.8344383386,60.0842900861,86.3347348435,0.0,0.04,3.9,-0.507,88.4955752212,1.0,1.278,47.74184,1.0,31.5328326475,1.0,1.0,0.0,33.267,0.0,0.0,0.0
2015-03-16,33.45,35.95,33.44,34.99,2250500,34.82,5.74,7.63,75.2293577982,70.9660781584,63.7115527769,85.4751289215,0.0,1.553,3.94,0.0,100.0,1.0,51.93232,18.1627733333,0.0,32.6285550983,1.0,1.0,0.0,34.82,0.0,0.0,0.0
2015-03-23,35.03,38.65,34.0,36.15,3015500,35.974,5.474,6.21,88.1481481481,76.6934348217,68.0388467918,94.0026108814,1.0,1.154,4.309,0.0,100.0,0.0,39.236,47.7002133333,1.0,33.7437033989,1.0,1.0,0.0,35.974,0.0,0.0,0.0
2015-03-30,36.15,39.79,35.3,39.0,2591000,38.81,8.31,8.15,101.963190184,85.1166866091,73.7314600642,107.887139699,1.0,2.836,5.175,0.0,100.0,0.0,100.1108,59.5276,1.0,35.4324689326,1.0,1.0,0.0,38.81,0.0,0.0,0.0
2015-04-06,39.0,41.25,34.37,37.23,1975800,37.049,6.029,8.77,68.7457240593,79.6596990925,75.7075397403,87.5640177969,0.0,-1.761,7.871,0.0,100.0,0.0,-60.52557,46.5653433333,0.0,35.9713126217,1.0,0.0,0.0,37.049,0.0,0.0,0.0
2015-04-13,37.7,38.5,34.4,35.81,1720200,35.636,3.686,9.3,39.6344086022,66.3179355957,72.5776716921,53.7984634029,0.0,-1.413,5.583,-1.761,76.0212418301,0.0,-48.6072,-56.55278,0.0,35.8595417478,0.0,0.0,-1.0,35.636,0.0,35.636,0.167972206745
2015-04-20,35.51,41.09,35.1,41.09,1434000,40.89,7.45,7.81,95.390524968,76.0087987198,73.7213807014,80.5836347567,1.0,5.254,5.543,-3.174,63.5883905013,0.0,184.4154,29.067,1.0,37.5363611652,1.0,1.0,0.0,40.89,0.0,0.0,0.0
2015-04-27,41.09,41.09,41.09,41.09,0,40.89,6.89,7.25,95.0344827586,82.3506933994,76.5978182674,93.8564436635,1.0,0.0,9.244,-3.174,74.4403285553,1.0,0.0,122.9436,1.0,38.6542407768,1.0,0.0,1.0,40.89,40.89,0.0,0.0
2015-05-04,41.09,41.09,41.09,41.09,0,40.89,6.52,6.88,94.7674418605,86.4896095531,79.8950820293,99.6786646007,1.0,0.0,8.09,-3.174,71.8217329545,0.0,0.0,0.0,0.0,39.3994938512,1.0,0.0,0.0,40.89,0.0,0.0,0.0
2015-05-11,41.09,41.09,41.09,41.09,0,40.89,6.52,6.88,94.7674418605,89.2488869889,83.0130170158,101.720626935,1.0,0.0,5.254,-3.174,62.3398196488,0.0,0.0,0.0,0.0,39.8963292341,1.0,0.0,0.0,40.89,0.0,0.0,0.0
2015-05-18,41.09,41.09,41.09,41.09,0,40.89,6.49,6.69,97.0104633782,91.8360791187,85.9540377168,103.600161922,1.0,0.0,5.254,-1.413,78.806059697,1.0,0.0,0.0,0.0,40.2275528228,1.0,0.0,0.0,40.89,0.0,0.0,0.0
2015-05-25,41.09,41.09,41.09,41.09,0,40.89,5.79,5.99,96.6611018364,93.4444200246,88.4508318194,103.431596435,0.0,0.0,5.254,0.0,100.0,1.0,0.0,0.0,0.0,40.4483685485,1.0,0.0,0.0,40.89,0.0,0.0,0.0
2015-06-01,41.09,41.09,41.09,41.09,0,40.89,-0.2,0.0,-inf,-inf,-inf,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,40.5955790323,1.0,0.0,0.0,40.89,0.0,0.0,0.0
2015-06-08,41.09,41.09,41.09,41.09,0,40.89,-0.2,0.0,-inf,-inf,-inf,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,40.6937193549,1.0,0.0,0.0,40.89,0.0,0.0,0.0
2015-06-15,41.09,41.09,41.09,41.09,0,41.09,0.0,0.0,,,,,0.0,0.2,0.0,0.0,,0.0,8.218,2.73933333333,1.0,40.8258129033,1.0,1.0,0.0,41.09,0.0,0.0,0.0
2015-06-22,41.09,41.09,41.09,41.09,0,41.09,0.0,0.0,,,,,0.0,0.0,0.2,0.0,100.0,0.0,0.0,5.47866666667,1.0,40.9138752688,1.0,0.0,0.0,41.09,0.0,0.0,0.0
2015-06-29,41.09,41.09,41.09,41.09,0,41.09,0.0,0.0,,,,,0.0,0.0,0.2,0.0,100.0,0.0,0.0,0.0,0.0,40.9725835126,1.0,0.0,0.0,41.09,0.0,0.0,0.0
2015-07-06,41.09,41.09,41.09,41.09,0,41.09,0.0,0.0,,,,,0.0,0.0,0.2,0.0,100.0,0.0,0.0,0.0,0.0,41.0117223417,1.0,0.0,0.0,41.09,0.0,0.0,0.0
2015-07-13,41.09,41.09,41.09,41.09,0,41.09,0.0,0.0,,,,,0.0,0.0,0.2,0.0,100.0,0.0,0.0,0.0,0.0,41.0378148945,1.0,0.0,0.0,41.09,0.0,0.0,0.0
2015-07-20,41.09,41.09,41.09,41.09,0,41.09,0.0,0.0,,,,,0.0,0.0,0.2,0.0,100.0,0.0,0.0,0.0,0.0,41.0552099296,1.0,0.0,0.0,41.09,0.0,0.0,0.0
2015-07-27,41.09,41.09,41.09,41.09,0,41.09,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,41.0668066198,1.0,0.0,0.0,41.09,0.0,0.0,0.0
2015-08-03,41.09,41.09,41.09,41.09,0,41.09,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,41.0745377465,1.0,0.0,0.0,41.09,0.0,0.0,0.0
2015-08-10,41.09,49.03,41.0,42.05,2273300,42.05,0.96,0.0,inf,,,,0.0,0.96,0.0,0.0,,0.0,39.36,13.12,1.0,41.399691831,1.0,1.0,0.0,42.05,0.0,0.0,0.0
2015-08-17,42.0,50.88,40.95,41.31,4735300,41.31,0.31,8.03,3.86052303861,,,,0.0,-0.74,0.96,0.0,100.0,0.0,-30.303,16.139,1.0,41.369794554,0.0,0.0,0.0,41.31,0.0,0.0,0.0
2015-08-24,38.9,39.76,28.51,32.9,2932500,32.9,-8.05,9.93,-81.0674723061,,,,0.0,-8.41,0.96,-0.74,56.4705882353,0.0,-239.7691,-100.125033333,0.0,38.5465297027,0.0,0.0,-1.0,32.9,0.0,32.9,-0.195402298851
2015-08-31,32.0,32.0,24.07,26.79,1180000,26.79,-1.72,22.37,-7.68886902101,,,,0.0,-6.11,0.96,-9.15,9.49554896142,0.0,-147.0677,-208.868633333,0.0,34.6276864684,0.0,0.0,0.0,26.79,0.0,0.0,0.0
2015-09-07,26.0,30.4,25.27,29.94,2081500,29.94,5.87,26.81,21.8948153674,,,,0.0,3.15,0.96,-15.26,5.9186189889,0.0,79.6005,-71.5116333333,1.0,33.0651243123,0.0,1.0,0.0,29.94,0.0,0.0,0.0
2015-09-14,29.96,30.65,24.6,27.38,1531400,27.38,3.31,26.81,12.3461395002,,,,0.0,-2.56,4.11,-15.26,21.2183789365,1.0,-62.976,32.075,1.0,31.1700828749,0.0,0.0,0.0,27.38,0.0,0.0,0.0
2015-09-21,27.0,31.39,26.91,29.36,1373400,29.36,5.29,26.81,19.7314434912,,,,0.0,1.98,3.15,-17.82,15.0214592275,0.0,53.2818,-24.2234,0.0,30.5667219166,0.0,1.0,0.0,29.36,0.0,0.0,0.0
2015-09-28,29.2,32.3,29.2,30.25,543100,30.25,6.18,15.69,39.3881453155,,,,0.0,0.89,5.13,-17.08,23.0977037371,1.0,25.988,44.1838666667,1.0,30.4611479444,0.0,1.0,0.0,30.25,0.0,0.0,0.0
2015-10-05,30.25,34.74,30.25,34.74,345300,34.74,10.67,8.23,129.64763062,,,,0.0,4.49,6.02,-8.67,40.9802586794,1.0,135.8225,62.5995,1.0,31.8874319629,1.0,1.0,0.0,34.74,0.0,0.0,0.0
2015-10-12,35.86,38.54,34.64,37.6,1920400,37.6,13.0,10.14,128.205128205,,,,0.0,2.86,10.51,-2.56,80.4131599082,1.0,99.0704,123.5718,1.0,33.7916213086,1.0,1.0,0.0,37.6,0.0,0.0,0.0
