Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,60.30,61.60,51.58,57.40,3946000,57.40
2015-12-28,57.79,65.89,56.23,60.72,6037400,60.72
2015-12-21,49.06,54.00,48.30,52.58,2621800,52.58
2015-12-14,43.05,51.36,42.22,49.38,2559500,49.38
2015-12-07,44.56,48.67,44.20,44.40,2726800,44.40
2015-11-30,48.00,48.77,41.20,44.37,2296900,44.37
2015-11-23,44.30,53.50,43.86,47.00,2820500,47.00
2015-11-16,44.55,46.97,41.82,44.45,1421100,44.45
2015-11-09,45.04,50.50,44.43,45.89,2102000,45.89
2015-11-02,42.04,48.00,41.00,45.18,1519100,45.18
2015-10-26,40.01,44.99,38.80,42.02,1913300,42.02
2015-10-19,37.64,40.00,34.80,40.00,1659100,40.00
2015-10-12,32.29,39.15,32.20,37.63,1337700,37.63
2015-10-05,30.50,32.66,30.50,32.29,323500,32.29
2015-09-28,29.00,30.50,28.73,30.50,374900,30.50
2015-09-21,28.39,31.00,27.52,29.50,1014200,29.50
2015-09-14,33.55,33.99,26.08,28.30,1218500,28.30
2015-09-07,33.15,36.50,29.50,33.25,2352900,33.25
2015-08-31,37.21,38.81,30.49,32.90,454800,32.90
2015-08-24,40.60,40.60,31.26,38.24,1067300,38.24
2015-08-17,43.90,51.58,39.70,42.83,2391200,42.83
2015-08-10,39.90,44.17,38.84,43.87,1422000,43.87
2015-08-03,43.16,43.16,34.96,38.85,1501400,38.85
2015-07-27,43.16,43.16,43.16,43.16,000,43.16
2015-07-20,38.00,44.27,37.18,43.16,1729600,43.16
2015-07-13,36.48,40.87,32.22,38.80,2652100,38.80
2015-07-06,31.45,34.49,24.02,34.49,3202400,34.43
2015-06-29,42.09,42.98,28.59,28.59,2838600,28.54
2015-06-22,45.90,50.11,41.77,41.77,1450700,41.70
2015-06-15,59.12,59.16,45.90,45.90,2974800,45.82
2015-06-08,60.00,60.10,53.00,58.30,3135900,58.20
2015-06-01,69.00,72.10,57.70,60.00,3141400,59.90
2015-05-25,50.00,70.05,49.21,68.31,3962500,68.19
2015-05-18,42.86,51.20,42.86,50.26,3871700,50.17
2015-05-11,40.90,44.66,39.51,42.08,4173300,42.01
2015-05-04,30.82,42.00,30.82,41.16,3057100,41.09
2015-04-27,28.02,28.02,28.02,28.02,000,27.97
2015-04-20,28.02,28.02,28.02,28.02,000,27.97
2015-04-13,28.02,28.02,28.02,28.02,000,27.97
2015-04-06,28.02,28.02,28.02,28.02,000,27.97
2015-03-30,28.02,28.02,28.02,28.02,000,27.97
2015-03-23,28.02,28.02,28.02,28.02,000,27.97
2015-03-16,28.02,28.02,28.02,28.02,000,27.97
2015-03-09,28.02,28.02,28.02,28.02,000,27.97
2015-03-02,28.02,28.02,28.02,28.02,000,27.97
2015-02-23,28.02,28.02,28.02,28.02,000,27.97
2015-02-16,28.02,28.02,28.02,28.02,000,27.97
2015-02-09,28.02,28.02,28.02,28.02,000,27.97
2015-02-02,28.02,28.02,28.02,28.02,000,27.97
2015-01-26,28.02,28.02,28.02,28.02,000,27.97
2015-01-19,28.02,28.02,28.02,28.02,000,27.97
2015-01-12,28.02,28.02,28.02,28.02,000,27.97
2015-01-05,28.02,28.02,28.02,28.02,000,27.97
2015-01-01,28.02,28.02,28.02,28.02,000,27.97
