Date,Open,High,Low,Close,Volume,Adj Close,I,j,RSV,K,D,J,KDJ_s,X,A,B,RSI,RSI_s,F,FI,FI_s,EMA,EMA_s,close_s,signal,price,buy,sell,profit
2015-01-01,7.28,7.28,7.28,7.28,0,7.15,,,,50.0,50.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,1.0,0.0,7.15,0.0,0.0,0.0
2015-01-05,7.28,7.57,6.53,6.65,953451300,6.53,,,,50.0,50.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,-4.0486,0.0,0.0,0.0,0.0,0.0,0.0,6.53,0.0,0.0,0.0
2015-01-12,6.58,6.87,6.24,6.68,527009600,6.56,,,,50.0,50.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.1872,0.0,0.0,0.0,0.0,1.0,0.0,6.56,0.0,0.0,0.0
2015-01-19,6.2,6.39,5.92,6.23,655741800,6.12,,,,50.0,50.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,-2.6048,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0
2015-01-26,6.23,6.44,5.86,5.88,475714100,5.78,,,,50.0,50.0,0.0,0.0,-0.34,0.0,0.0,0.0,0.0,-1.9924,0.0,0.0,5.272,1.0,0.0,0.0,5.78,0.0,0.0,0.0
2015-02-02,5.69,6.06,5.45,5.53,443936900,5.43,-0.43,1.71,-25.1461988304,24.9512670565,41.6504223522,-8.44704353476,0.0,-0.35,1.28,-1.4,47.7611940299,1.0,-1.9075,-1.9641,0.0,5.32466666667,1.0,0.0,0.0,5.43,0.0,0.0,0.0
2015-02-09,5.52,6.02,5.5,5.91,314619800,5.8,0.35,2.12,16.5094339623,22.1373226918,35.1460557987,-3.88014352209,1.0,0.37,0.03,-1.75,1.68539325843,0.0,2.035,-0.593333333333,1.0,5.48311111111,1.0,1.0,0.0,5.8,0.0,0.0,0.0
2015-02-16,5.94,6.07,5.89,6.0,119765600,5.89,0.44,1.42,30.985915493,25.0868536255,31.7929884076,11.6745840612,1.0,0.09,0.4,-1.13,26.1437908497,1.0,0.5301,1.53336666667,1.0,5.61874074074,1.0,1.0,1.0,5.89,5.89,0.0,0.0
2015-02-23,6.0,6.56,5.87,6.41,379797200,6.3,0.85,0.99,85.8585858586,45.3440977032,36.3100248395,63.4122434306,1.0,0.41,0.46,-1.13,28.9308176101,1.0,2.4067,1.15563333333,0.0,5.84582716049,1.0,1.0,0.0,6.3,0.0,0.0,0.0
2015-03-02,6.51,6.54,5.96,6.05,416284400,5.94,0.49,1.11,44.1441441441,44.9441131835,39.1880542875,56.4562309755,0.0,-0.36,0.87,-0.69,55.7692307692,1.0,-2.1456,0.889266666667,0.0,5.877218107,1.0,0.0,0.0,5.94,0.0,0.0,0.0
2015-03-09,6.0,6.44,5.89,6.25,368405500,6.14,0.69,1.11,62.1621621622,50.6834628431,43.0198571394,66.0106742505,1.0,0.2,0.87,-0.71,55.0632911392,0.0,1.178,-1.03773333333,0.0,5.96481207133,1.0,1.0,0.0,6.14,0.0,0.0,0.0
