Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,27.10,28.46,22.06,25.00,23685000,25.00
2015-12-28,26.30,32.00,26.00,27.48,30167300,27.48
2015-12-21,25.90,28.75,24.24,27.71,20714000,27.71
2015-12-14,22.34,26.38,22.00,25.90,17062000,25.90
2015-12-07,23.86,26.25,22.34,22.35,26449700,22.35
2015-11-30,21.53,24.80,19.40,23.86,25405900,23.86
2015-11-23,22.00,24.05,21.00,21.50,18317900,21.50
2015-11-16,21.60,23.70,21.02,22.25,15703100,22.25
2015-11-09,21.60,26.85,21.11,22.66,32276600,22.66
2015-11-02,22.88,23.58,20.70,22.23,29523900,22.23
2015-10-26,26.00,28.80,22.50,25.42,46812500,25.42
2015-10-19,15.71,25.40,15.51,25.40,36701300,25.40
2015-10-12,13.1667,16.60,12.8889,16.15,29403300,16.15
2015-10-05,12.00,13.2778,12.00,13.1556,6559600,7.30867
2015-09-28,18.72,22.78008,12.00,12.00,10919700,6.66667
2015-09-21,17.51999,20.57994,17.40001,18.73998,8717100,10.4111
2015-09-14,18.90,19.13994,15.35999,17.87999,6060700,9.93333
2015-09-07,16.05,19.29996,16.04,18.97002,7076700,10.5389
2015-08-31,19.99998,19.99998,15.22001,15.61,4187100,8.67222
2015-08-24,22.87998,23.14008,16.83,20.23992,7678900,11.2444
2015-08-17,26.65008,29.52,23.25006,23.97996,11255600,13.3222
2015-08-10,26.10,28.38006,25.21998,26.92008,9696000,14.9556
2015-08-03,22.55994,25.30008,20.39994,25.30008,9826900,14.0556
2015-07-27,27.79992,29.19006,21.49992,22.75002,9951100,12.6389
2015-07-20,27.00,31.30002,25.59996,28.90008,15086600,16.0556
2015-07-13,25.43004,27.97002,22.03002,26.74998,12783300,14.8611
2015-07-06,27.79992,27.79992,18.59994,23.11992,9142900,12.8444
2015-06-29,37.67994,37.99998,25.52004,25.52004,9912600,14.1778
2015-06-22,41.88006,46.00008,37.67004,37.67004,7596700,20.9278
2015-06-15,46.15002,53.76996,41.88006,41.88006,9756000,23.2667
2015-06-08,41.99994,47.84994,37.60002,47.19996,8425900,26.2222
2015-06-01,39.54006,46.00008,38.14002,42.44994,8715700,23.5461
2015-05-25,37.80,47.89998,36.37008,39.79008,12602800,22.07073
2015-05-18,33.49998,39.74994,32.41998,38.07,11591800,21.11664
2015-05-11,29.88,34.70004,29.10006,33.39,13745600,18.52074
2015-05-04,29.07,29.50002,25.79994,28.99008,7815400,16.0802
2015-04-27,29.55996,31.80996,27.75006,29.70,8953000,16.47397
2015-04-20,28.98,31.44996,26.10,29.55996,12290000,16.3963
2015-04-13,32.11992,33.85008,27.88002,28.72998,9794700,15.93592
2015-04-06,36.84996,37.80,30.56994,32.77008,13524700,18.17688
2015-03-30,26.40006,36.84996,24.49998,36.84996,18755800,20.43991
2015-03-23,21.81996,23.99994,21.81996,23.99994,46300,13.31227
2015-03-16,21.81996,21.81996,21.81996,21.81996,000,12.10308
2015-03-09,18.50004,22.46994,18.36,21.81996,11591100,12.10308
2015-03-02,19.20996,20.37996,18.23004,18.79992,9639700,10.42793
2015-02-23,19.99998,20.08998,18.50004,19.20996,3978300,10.65537
2015-02-16,18.55008,20.88,18.39996,19.99998,5004500,11.09357
2015-02-09,18.39996,19.00008,17.40001,18.70002,7389500,10.37251
2015-02-02,16.48001,19.20006,16.22,18.48996,8033800,10.256
2015-01-26,16.88999,18.50004,16.75001,16.79,3653800,9.31307
2015-01-19,16.00,18.10008,15.93,17.06999,4875400,9.46837
2015-01-12,16.48001,16.97999,15.60001,16.65,3511300,9.23541
2015-01-05,14.74999,18.03996,14.09999,16.67,6713100,9.2465
2015-01-01,15.17999,15.17999,15.17999,15.17999,000,8.42003
