Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,4.97,5.01,4.20,4.47,48707700,4.47
2015-12-28,5.14,5.19,4.97,5.01,23800600,5.01
2015-12-21,5.14,5.32,4.99,5.19,49568300,5.19
2015-12-14,4.75,5.17,4.74,5.14,58254800,5.14
2015-12-07,4.70,5.00,4.63,4.81,52451000,4.81
2015-11-30,4.57,4.80,4.40,4.69,38996500,4.69
2015-11-23,4.97,4.98,4.47,4.52,41769200,4.52
2015-11-16,4.80,5.05,4.78,4.97,48573100,4.97
2015-11-09,5.01,5.23,4.86,4.90,71189500,4.90
2015-11-02,4.73,5.20,4.59,5.07,78370000,5.07
2015-10-26,4.81,4.87,4.58,4.75,57948700,4.75
2015-10-19,4.76,4.88,4.44,4.73,76471100,4.73
2015-10-12,4.44,4.84,4.42,4.75,71580400,4.75
2015-10-05,4.23,4.49,4.23,4.44,16035700,4.44
2015-09-28,4.34,4.37,4.19,4.23,15594900,4.23
2015-09-21,4.47,4.66,4.26,4.33,43724400,4.33
2015-09-14,4.83,4.89,4.15,4.46,56983100,4.46
2015-09-07,4.99,5.19,4.60,4.78,65576900,4.78
2015-08-31,4.75,5.20,4.51,4.99,88509200,4.99
2015-08-24,5.00,5.00,3.96,4.75,107842200,4.75
2015-08-17,6.06,6.35,5.03,5.17,139346400,5.17
2015-08-10,5.90,6.32,5.90,6.06,163511000,6.06
2015-08-03,5.42,6.03,5.38,5.86,140220900,5.86
2015-07-27,5.75,5.78,4.78,5.64,186621300,5.64
2015-07-20,5.76,6.27,5.52,5.91,217449100,5.86
2015-07-13,5.69,6.27,4.88,5.71,233302100,5.66
2015-07-06,6.67,6.67,4.00,5.37,240526400,5.32
2015-06-29,8.20,8.28,6.08,6.08,301246500,6.03
2015-06-22,7.82,9.20,7.04,7.70,258842500,7.63
2015-06-15,8.48,9.10,7.74,7.82,258872800,7.75
2015-06-08,8.65,9.38,8.00,8.46,285374700,8.39
2015-06-01,7.20,8.57,7.08,8.57,372273900,8.50
2015-05-25,6.56,7.49,6.49,7.24,347391100,7.18
2015-05-18,6.05,6.59,5.96,6.56,159529500,6.50
2015-05-11,6.16,6.53,6.03,6.08,151254400,6.03
2015-05-04,7.23,7.33,5.90,6.09,187797000,6.04
2015-04-27,6.35,7.58,6.35,7.20,304292200,7.14
2015-04-20,6.30,6.96,6.18,6.36,320538600,6.31
2015-04-13,5.26,6.41,5.23,6.41,330046100,6.36
2015-04-06,4.96,5.45,4.96,5.23,182141700,5.19
2015-03-30,4.80,5.10,4.78,4.96,148619900,4.92
2015-03-23,4.76,5.13,4.76,4.78,179940400,4.74
2015-03-16,4.48,4.94,4.44,4.74,166693900,4.70
2015-03-09,4.24,4.55,4.18,4.47,70229300,4.43
2015-03-02,4.38,4.40,4.16,4.28,63857900,4.24
2015-02-23,4.28,4.38,4.20,4.37,35626600,4.33
2015-02-16,4.23,4.30,4.22,4.28,15070200,4.24
2015-02-09,4.05,4.28,3.99,4.23,44948500,4.19
2015-02-02,4.55,4.57,4.01,4.06,81115000,4.03
2015-01-26,4.36,4.95,4.29,4.58,146154000,4.54
2015-01-19,4.40,4.49,4.14,4.37,98934400,4.33
2015-01-12,4.55,4.76,4.31,4.64,88736400,4.60
2015-01-05,4.73,5.24,4.59,4.63,261589000,4.59
2015-01-01,4.52,4.52,4.52,4.52,000,4.48
