Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,22.76,23.55,19.25,22.54,7242300,22.54
2015-12-28,20.79,23.15,20.47,22.86,5928700,22.86
2015-12-21,19.75,21.88,19.68,20.37,5714200,20.37
2015-12-14,18.79,20.17,18.63,19.83,4890400,19.83
2015-12-07,19.38,19.46,18.21,18.78,3196700,18.78
2015-11-30,19.55,19.80,17.96,19.31,4673700,19.31
2015-11-23,20.44,21.97,19.28,19.55,5954700,19.55
2015-11-16,17.80,20.88,17.73,20.45,9116400,20.45
2015-11-09,19.00,19.20,17.96,18.00,6559600,18.00
2015-11-02,17.09,19.26,16.80,19.14,9992200,19.14
2015-10-26,17.90,17.92,16.70,17.34,5703100,17.34
2015-10-19,17.00,18.11,15.93,17.58,7843500,17.58
2015-10-12,15.49,17.11,15.46,16.91,7732400,16.91
2015-10-05,14.65,15.47,14.65,15.36,2044700,15.36
2015-09-28,14.60,14.90,14.28,14.65,1753000,14.65
2015-09-21,14.68,15.65,14.32,14.45,6095700,14.45
2015-09-14,15.95,15.95,13.70,14.77,4018300,14.77
2015-09-07,14.77,16.28,14.47,15.73,4614700,15.73
2015-08-31,16.00,16.20,13.70,14.28,3877000,14.28
2015-08-24,16.73,16.75,13.50,16.35,11049900,16.35
2015-08-17,20.21,21.89,17.20,17.31,11740100,17.31
2015-08-10,18.80,21.50,18.57,20.46,15018300,20.46
2015-08-03,17.72,18.91,16.90,18.74,11976100,18.74
2015-07-27,20.00,20.59,16.69,17.68,15194200,17.68
2015-07-20,19.98,22.00,19.02,20.60,20724300,20.60
2015-07-13,15.54,19.98,15.54,19.65,18051000,19.65
2015-07-06,18.63,18.63,14.13,14.13,6235000,14.13
2015-06-29,22.61,23.28,16.94,16.94,17868900,16.94
2015-06-22,28.65,28.65,22.45,22.45,11057500,22.45
2015-06-15,34.61,37.95,28.65,28.65,14881300,28.65
2015-06-08,34.60,35.31,31.25,34.53,13967200,34.53
2015-06-01,37.62,40.09,30.11,34.15,12553700,34.15
2015-05-25,31.57,38.14,31.56,37.62,4984500,37.62
2015-05-18,26.12,31.52,25.72,31.52,7881100,30.68
2015-05-11,22.00,28.17,20.50,26.38,12480100,25.68
2015-05-04,20.30,20.30,20.30,20.30,000,19.76
2015-04-27,20.42,20.65,19.50,20.30,5882700,19.76
2015-04-20,19.80,22.45,19.46,20.23,11624800,19.69
2015-04-13,20.10,21.39,18.58,20.08,8551200,19.55
2015-04-06,18.30,20.84,16.96,20.21,8005900,19.67
2015-03-30,16.08,18.61,15.90,18.30,8271200,17.81
2015-03-23,15.80,16.10,15.25,15.88,6333400,15.46
2015-03-16,14.87,15.87,14.81,15.80,6250300,15.38
2015-03-09,14.40,15.05,14.32,14.82,4208100,14.43
2015-03-02,14.35,14.85,14.34,14.47,4347000,14.09
2015-02-23,14.40,14.40,14.01,14.34,1562100,13.96
2015-02-16,14.36,14.50,14.27,14.40,1100400,14.02
2015-02-09,13.73,14.54,13.66,14.34,3083400,13.96
2015-02-02,14.24,14.65,13.64,13.72,4337900,13.36
2015-01-26,13.82,15.19,13.80,14.34,6969900,13.96
2015-01-19,13.23,14.20,12.86,13.84,6429500,13.47
2015-01-12,13.31,13.42,13.05,13.42,2768900,13.06
2015-01-05,13.03,13.76,12.90,13.45,5818900,13.09
2015-01-01,12.90,12.90,12.90,12.90,000,12.56
