Date,Open,High,Low,Close,Volume,Adj Close,I,j,RSV,K,D,J,KDJ_s,X,A,B,RSI,RSI_s,F,FI,FI_s,EMA,EMA_s,close_s,signal,price,buy,sell,profit
2015-01-08,34.68,38.15,34.68,38.15,832100,38.02,,,,50.0,50.0,0.0,0.0,-44.22,0.0,0.0,0.0,0.0,-1533.5496,0.0,0.0,0.0,0.0,0.0,0.0,38.02,0.0,0.0,0.0
2015-01-12,38.15,47.39,37.3,46.47,11142700,46.31,,,,50.0,50.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,309.217,0.0,0.0,0.0,0.0,1.0,0.0,46.31,0.0,0.0,0.0
2015-01-19,44.8,49.78,42.62,46.87,6149800,46.71,,,,50.0,50.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,17.048,0.0,0.0,0.0,0.0,1.0,0.0,46.71,0.0,0.0,0.0
2015-01-26,46.11,52.93,45.77,47.13,4172100,46.97,,,,50.0,50.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,11.9002,0.0,0.0,0.0,0.0,1.0,0.0,46.97,0.0,0.0,0.0
2015-02-02,42.42,46.98,40.5,40.99,5025600,40.85,,,,50.0,50.0,0.0,0.0,-6.12,0.0,0.0,0.0,0.0,-247.86,0.0,0.0,35.602,1.0,0.0,0.0,40.85,0.0,0.0,0.0
2015-02-09,40.1,46.15,38.3,45.43,3355100,45.28,10.6,18.25,58.0821917808,52.6940639269,50.898021309,56.2861491629,1.0,4.43,8.95,-50.34,15.0952943161,1.0,169.669,-108.683666667,0.0,38.828,1.0,1.0,0.0,45.28,0.0,0.0,0.0
2015-02-16,45.1,46.86,43.92,45.2,1177400,45.05,7.75,15.63,49.5841330774,51.6574203104,51.1511543095,52.6699523124,0.0,-0.23,13.38,-6.12,68.6153846154,1.0,-10.1016,109.745466667,1.0,40.902,1.0,0.0,0.0,45.05,0.0,0.0,0.0
2015-02-23,45.2,45.75,43.43,45.03,1027500,44.88,6.58,14.63,44.976076555,49.4303057253,50.5775381147,47.1358409464,0.0,-0.17,5.09,-6.35,44.493006993,0.0,-7.3831,-9.19543333333,0.0,42.228,1.0,0.0,0.0,44.88,0.0,0.0,0.0
2015-03-02,44.94,46.8,43.85,44.06,2324400,43.91,5.61,14.63,38.3458646617,45.7354920374,48.9635227556,39.279430601,0.0,-0.97,4.69,-6.52,41.8376449599,0.0,-42.5345,-19.1002333333,0.0,42.7886666667,1.0,0.0,0.0,43.91,0.0,0.0,0.0
2015-03-09,43.2,46.8,42.24,46.12,1824600,45.97,7.67,8.68,88.3640552995,59.9450131248,52.6240195454,74.5870002837,1.0,2.06,4.43,-7.49,37.1644295302,0.0,87.0144,0.648466666667,1.0,43.8491111111,1.0,1.0,0.0,45.97,0.0,0.0,0.0
2015-03-16,46.81,61.0,46.81,58.33,3564400,58.13,19.83,8.56,231.658878505,117.182968251,74.143669114,203.261566526,1.0,12.16,6.49,-1.37,82.5699745547,1.0,569.2096,247.746133333,1.0,48.6094074074,1.0,1.0,1.0,58.13,58.13,0.0,0.0
2015-03-23,57.98,64.34,55.88,57.77,3117200,57.58,15.34,18.76,81.7697228145,105.378553106,84.5552971113,147.025065095,0.0,-0.55,14.22,-1.37,91.2123155869,1.0,-30.734,369.2284,1.0,51.5996049383,1.0,0.0,0.0,57.58,0.0,0.0,0.0
2015-03-30,56.72,60.18,55.0,59.57,1690700,59.37,17.13,22.1,77.5113122172,96.0894728096,88.4000223441,111.468373741,0.0,1.79,14.22,-1.69,89.3777498429,0.0,98.45,12.3273333333,0.0,54.1897366255,1.0,1.0,0.0,59.37,0.0,0.0,0.0
2015-04-06,59.57,68.59,59.57,65.73,2138900,65.51,23.27,22.1,105.294117647,99.1576877554,91.9859108145,113.501241637,1.0,6.14,16.01,-1.52,91.3291500285,1.0,365.7598,187.553266667,1.0,57.9631577503,1.0,1.0,0.0,65.51,0.0,0.0,0.0
2015-04-13,64.0,69.73,57.8,58.19,2173000,57.99,15.75,26.35,59.7722960152,86.029223842,90.0003484903,78.0869745453,0.0,-7.52,22.15,-0.55,97.577092511,1.0,-434.656,98.9545333333,0.0,57.9721051669,1.0,0.0,0.0,57.99,0.0,0.0,0.0
2015-04-20,57.51,70.35,56.33,69.53,2429200,69.3,22.49,22.92,98.1239092496,90.0607856445,90.0204942084,90.1413685168,1.0,11.31,20.09,-8.07,71.3423295455,0.0,637.0923,-77.4065666667,0.0,61.7480701113,1.0,1.0,0.0,69.3,0.0,0.0,0.0
2015-04-27,68.99,72.5,62.72,66.07,2006100,65.85,10.85,15.35,70.6840390879,83.6018701257,87.8809528475,75.043704682,0.0,-3.45,19.24,-8.07,70.4503844746,0.0,-216.384,352.6002,1.0,63.1153800742,1.0,0.0,0.0,65.85,0.0,0.0,0.0
2015-05-04,65.8,68.32,61.0,68.32,2075800,68.09,13.09,17.5,74.8,80.6679134171,85.4766063707,71.0505275099,0.0,2.24,19.24,-10.97,63.6875206885,0.0,136.64,-98.7093333333,0.0,64.7735867161,1.0,1.0,0.0,68.09,0.0,0.0,0.0
2015-05-11,69.6,82.88,67.0,77.78,3083800,77.52,21.19,16.17,131.045145331,97.460324055,89.4711789321,113.438614301,1.0,9.43,19.69,-10.97,64.2204827136,1.0,631.81,301.696666667,1.0,69.0223911441,1.0,1.0,0.0,77.52,0.0,0.0,0.0
2015-05-18,77.75,88.54,77.31,83.55,2209500,83.27,26.94,26.55,101.468926554,98.7965248879,92.5796275841,111.230319496,0.0,5.75,22.98,-10.97,67.6877761414,1.0,444.5325,569.384166667,1.0,73.7715940961,1.0,1.0,0.0,83.27,0.0,0.0,0.0
2015-05-25,80.8,106.5,80.2,94.22,3037600,93.9,37.57,32.21,116.640794784,104.744614853,96.6346233405,120.964597879,1.0,10.63,28.73,-3.45,89.2790553139,1.0,852.526,580.530333333,1.0,80.4810627307,1.0,1.0,0.0,93.9,0.0,0.0,0.0
2015-06-01,93.62,98.86,84.46,89.27,1892400,88.97,27.97,45.5,61.4725274725,90.3205857264,94.5299441358,81.9018689076,0.0,-4.93,28.05,-3.45,89.0476190476,0.0,-416.3878,429.554733333,0.0,83.3107084871,1.0,0.0,0.0,88.97,0.0,0.0,0.0
2015-06-08,90.0,90.99,81.78,89.81,2348200,89.51,28.51,45.5,62.6593406593,81.1001707041,90.0533529919,63.1938061284,0.0,0.54,28.05,-4.93,85.0515463918,0.0,44.1612,-262.871466667,0.0,85.3771389914,1.0,1.0,0.0,89.51,0.0,0.0,0.0
2015-06-15,90.0,96.0,67.52,67.52,2474900,67.29,0.29,39.5,0.73417721519,54.3115062078,78.1394040638,6.65571049561,0.0,-22.22,26.35,-4.93,84.2391304348,0.0,-1500.2944,-470.657333333,0.0,79.3480926609,0.0,0.0,-1.0,67.29,0.0,67.29,0.157577842766
2015-06-22,67.52,73.4,60.19,60.19,1371300,59.99,-7.53,38.98,-19.3175987686,29.7684712156,62.0157597811,-34.7261059153,0.0,-7.3,16.92,-27.15,38.3934649421,0.0,-439.387,-1146.6586,0.0,72.8953951073,0.0,0.0,0.0,59.99,0.0,0.0,0.0
2015-06-29,62.0,62.0,45.11,47.51,2496400,47.35,-12.84,46.31,-27.7261930469,10.6035831281,44.8783675635,-57.9459857425,0.0,-12.64,11.17,-34.45,24.4848750548,0.0,-570.1904,-482.988133333,1.0,64.3802634049,0.0,0.0,0.0,47.35,0.0,0.0,0.0
2015-07-06,52.26,52.26,34.63,34.63,1108500,34.51,-10.6,53.75,-19.7209302326,0.495412007909,30.0840490449,-58.6818620662,0.0,-12.84,0.54,-47.09,1.13373923997,0.0,-444.6492,-528.343333333,0.0,54.4235089366,0.0,0.0,0.0,34.51,0.0,0.0,0.0
2015-07-13,38.09,50.58,38.09,50.57,3291300,50.4,15.77,61.37,25.6965944272,8.89580614769,23.0213014125,-19.355184382,1.0,15.89,0.54,-55.0,0.972272236226,0.0,605.2501,-94.6827666667,1.0,53.0823392911,0.0,1.0,0.0,50.4,0.0,0.0,0.0
2015-07-20,50.48,64.29,49.8,60.76,3557100,60.56,25.93,61.37,42.2519146163,20.0145089705,22.0190372652,16.0054523812,1.0,10.16,15.89,-55.0,22.4150091691,1.0,505.968,572.156066667,1.0,55.5748928607,1.0,1.0,1.0,60.56,60.56,0.0,0.0
2015-07-27,58.5,61.38,44.51,47.4,3857100,47.24,12.61,38.77,32.5251483105,24.1847220839,22.7409322048,27.0723018421,1.0,-13.32,26.05,-32.78,44.2801291858,1.0,-592.8732,139.6876,0.0,52.7965952405,0.0,0.0,-1.0,47.24,0.0,47.24,-0.219947159841
2015-08-03,46.43,53.74,43.02,53.6,3265900,53.42,18.79,29.66,63.3513149022,37.2402530233,27.5740391443,56.5726807814,1.0,6.18,26.05,-38.8,40.1696222051,0.0,265.8636,-306.6276,0.0,53.004396827,1.0,1.0,0.0,53.42,0.0,0.0,0.0
2015-08-10,53.7,60.9,53.01,56.59,3143000,56.59,21.96,29.66,74.0391099123,49.506538653,34.8848723139,78.7498713313,1.0,3.17,32.23,-26.16,55.1978078438,1.0,168.0417,233.2563,1.0,54.1995978847,1.0,1.0,1.0,56.59,56.59,0.0,0.0
2015-08-17,56.8,57.98,46.2,46.47,2450200,46.47,8.38,26.2,31.9847328244,43.6659367101,37.8118937793,55.3740225719,0.0,-10.12,35.4,-13.32,72.6600985222,1.0,-467.544,-43.8202,0.0,51.6230652564,0.0,0.0,-1.0,46.47,0.0,46.47,-0.178830182011
2015-08-24,43.97,44.79,36.17,42.32,2009700,42.32,-0.7,21.27,-3.29102021627,28.0136177347,34.5458017644,14.9492496752,0.0,-4.15,19.51,-23.44,45.4249126892,0.0,-150.1055,-361.731166667,0.0,48.5220435043,0.0,0.0,0.0,42.32,0.0,0.0,0.0
2015-08-31,41.5,41.5,32.0,32.63,1176700,32.63,-3.54,25.21,-14.0420468068,13.9950628875,27.6955554721,-13.4059222817,0.0,-9.69,9.35,-27.59,25.311315647,0.0,-310.08,-203.430333333,1.0,43.2246956695,0.0,0.0,0.0,32.63,0.0,0.0,0.0
2015-09-07,33.78,39.98,33.0,39.55,1956400,39.55,7.55,28.9,26.124567474,18.038231083,24.4764473424,5.16179856423,1.0,6.92,9.35,-23.96,28.0696487541,1.0,228.36,-130.6,1.0,41.999797113,0.0,1.0,1.0,39.55,39.55,0.0,0.0
2015-09-14,39.92,40.59,32.04,40.59,2495300,40.59,8.59,28.9,29.723183391,21.9332151857,23.6287032902,18.5422389767,1.0,1.04,10.09,-23.96,29.6328928047,1.0,33.3216,163.3472,1.0,41.529864742,0.0,1.0,0.0,40.59,0.0,0.0,0.0
2015-09-21,40.31,42.88,38.45,38.89,2849600,38.89,6.89,25.98,26.5204003079,23.4622768931,23.5732278245,23.2403750303,1.0,-1.7,7.96,-23.96,24.9373433584,0.0,-65.365,0.426066666667,0.0,40.649909828,0.0,0.0,-1.0,38.89,0.0,38.89,-0.0166877370417
2015-09-28,38.2,42.0,38.2,41.37,1078900,41.37,9.37,12.79,73.260359656,40.0616378141,29.0693644877,62.0461844668,1.0,2.48,7.96,-15.54,33.8723404255,1.0,94.736,-11.998,0.0,40.8899398853,1.0,1.0,0.0,41.37,0.0,0.0,0.0
2015-10-05,41.37,44.9,41.37,44.01,872900,44.01,12.01,10.88,110.386029412,63.50310168,40.5472768851,109.41475127,1.0,2.64,10.44,-11.39,47.8240952817,1.0,109.2168,99.5629333333,1.0,41.9299599236,1.0,1.0,1.0,44.01,44.01,0.0,0.0
2015-10-12,44.11,51.66,44.11,50.97,2466400,50.97,18.93,12.86,147.200622084,91.402275148,57.4989429727,159.208939498,1.0,6.96,13.08,-1.7,88.49797023,1.0,307.0056,175.1464,1.0,44.9433066157,1.0,1.0,0.0,50.97,0.0,0.0,0.0
2015-10-19,51.0,53.65,47.21,52.9,2719100,52.9,20.86,19.62,106.320081549,96.3748772818,70.4575877424,148.209456361,0.0,1.93,13.12,-1.7,88.5290148448,1.0,91.1153,235.042166667,1.0,47.5955377438,1.0,1.0,0.0,52.9,0.0,0.0,0.0
2015-10-26,53.51,57.24,51.58,54.93,2329200,54.93,16.73,15.45,108.284789644,100.344848069,80.4200078513,140.194528505,0.0,2.03,14.01,-1.7,89.1788669637,1.0,104.7074,95.646,0.0,50.0403584959,1.0,1.0,0.0,54.93,0.0,0.0,0.0
2015-11-02,53.1,72.0,53.1,69.15,3485400,69.15,30.95,19.04,162.552521008,121.080739049,93.9735849172,175.295047312,1.0,14.22,16.04,0.0,100.0,1.0,755.082,321.498933333,1.0,56.4102389972,1.0,1.0,0.0,69.15,0.0,0.0,0.0
2015-11-09,68.0,85.2,67.8,74.46,3838700,74.46,33.09,30.63,108.031341822,116.730939973,101.559369936,147.074080048,0.0,5.31,27.78,0.0,100.0,0.0,360.018,623.394,1.0,62.4268259982,1.0,1.0,0.0,74.46,0.0,0.0,0.0
2015-11-16,71.62,97.92,71.62,97.92,3648100,97.92,53.81,41.09,130.956437089,121.472772345,108.197170739,148.023975558,1.0,23.46,30.45,0.0,100.0,0.0,1680.2052,800.0804,1.0,74.2578839988,1.0,1.0,0.0,97.92,0.0,0.0,0.0
2015-11-23,96.0,118.99,94.5,101.43,3401400,101.43,54.22,50.71,106.921711694,116.622418795,111.005586758,127.856082869,0.0,3.51,46.95,0.0,100.0,0.0,331.695,1230.7018,1.0,83.3152559992,1.0,1.0,0.0,101.43,0.0,0.0,0.0
2015-11-30,102.8,110.48,89.0,91.61,2842800,91.61,40.03,67.41,59.3828808782,97.5425728226,106.517915446,79.591887576,0.0,-9.82,48.53,0.0,100.0,0.0,-873.98,-70.1966666667,0.0,86.0801706661,1.0,0.0,0.0,91.61,0.0,0.0,0.0
2015-12-07,94.41,113.39,92.75,101.1,2842600,101.1,48.0,65.89,72.8486872059,89.3112776171,100.782369503,66.3690938452,0.0,9.49,46.5,-9.82,82.5639204545,0.0,880.1975,-289.254166667,0.0,91.0867804441,1.0,1.0,0.0,101.1,0.0,0.0,0.0
2015-12-14,97.0,124.95,93.62,116.57,1854500,116.57,48.77,51.19,95.2725141629,91.2983564657,97.6210318239,78.6530057493,1.0,15.47,41.77,-9.82,80.9653033534,0.0,1448.3014,1069.56546667,1.0,99.5811869627,1.0,1.0,0.0,116.57,0.0,0.0,0.0
2015-12-21,117.2,124.0,107.33,113.99,1752600,113.99,42.37,53.33,79.4487155447,87.3484761587,94.1968466021,73.6517352718,0.0,-2.58,51.93,-9.82,84.0971659919,1.0,-276.9114,873.230466667,0.0,104.384124642,1.0,0.0,0.0,113.99,0.0,0.0,0.0
2015-12-28,107.83,108.0,94.2,97.82,1670200,97.82,8.82,35.95,24.5340751043,66.4103424739,84.9346785594,29.3616703029,0.0,-16.17,28.47,-12.4,69.6598972351,0.0,-1523.214,-692.3456,0.0,102.196083095,0.0,0.0,-1.0,97.82,0.0,97.82,1.22267666439
2016-01-04,95.23,97.35,76.01,82.24,2223600,82.24,-6.76,35.95,-18.8038942976,38.0055968834,69.2916513341,-24.566512018,0.0,-15.58,24.96,-28.57,46.6280590323,0.0,-1184.2358,-1410.22126667,0.0,95.5440553964,0.0,0.0,0.0,82.24,0.0,0.0,0.0
