Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,10.20,10.91,8.35,9.00,16605500,9.00
2015-12-28,10.63,10.99,10.14,10.18,3279000,10.18
2015-12-21,10.01,10.80,9.59,10.24,19984700,10.24
2015-12-14,8.31,10.39,8.25,10.24,20705500,10.24
2015-12-07,8.86,9.15,8.18,8.33,8713800,8.33
2015-11-30,8.50,9.23,7.98,8.95,14541400,8.95
2015-11-23,9.60,9.65,8.38,8.58,24330500,8.58
2015-11-16,7.90,9.49,7.59,9.49,41620500,9.49
2015-11-09,7.17,7.59,7.08,7.33,13148900,7.33
2015-11-02,6.51,7.30,6.45,7.26,14364300,7.26
2015-10-26,6.88,6.88,6.40,6.62,10907100,6.62
2015-10-19,6.75,6.85,6.19,6.73,11743000,6.73
2015-10-12,6.23,6.83,6.15,6.75,13195100,6.75
2015-10-05,5.81,6.18,5.81,6.15,3480900,6.15
2015-09-28,5.79,6.05,5.70,5.81,3440300,5.81
2015-09-21,5.40,6.15,5.00,5.78,11198100,5.78
2015-09-14,6.66,6.78,5.20,5.43,10992900,5.43
2015-09-07,6.55,6.88,5.95,6.53,12804700,6.53
2015-08-31,8.16,8.31,6.49,6.49,11657600,6.49
2015-08-24,9.38,9.38,7.60,8.90,7184400,8.90
2015-08-17,9.38,9.38,9.38,9.38,000,9.38
2015-08-10,9.38,9.38,9.38,9.38,000,9.38
2015-08-03,9.38,9.38,9.38,9.38,000,9.38
2015-07-27,9.38,9.38,9.38,9.38,000,9.38
2015-07-20,9.38,9.38,9.38,9.38,000,9.38
2015-07-13,9.38,9.38,9.38,9.38,000,9.38
2015-07-06,9.38,9.38,9.38,9.38,000,9.38
2015-06-29,9.38,9.38,9.38,9.38,000,9.38
2015-06-22,9.38,9.38,9.38,9.38,000,9.38
2015-06-15,9.38,9.38,9.38,9.38,000,9.38
2015-06-08,9.38,9.38,9.38,9.38,000,9.38
2015-06-01,14.07,14.07,9.38,9.38,000,9.38
2015-05-25,14.07,14.07,14.07,14.07,000,9.38
2015-05-18,14.07,14.07,14.07,14.07,000,9.38
2015-05-11,14.07,14.07,14.07,14.07,000,9.38
2015-05-04,14.07,14.07,14.07,14.07,000,9.38
2015-04-27,14.80,15.28995,14.00,14.07,3946400,9.38
2015-04-20,14.37,15.52995,14.00,14.85,17003500,9.90
2015-04-13,15.30,16.51005,14.07,14.59999,17799100,9.73333
2015-04-06,14.88,16.18995,14.37,15.31005,20259600,10.2067
2015-03-30,13.55,15.12,13.50,14.88,25723400,9.92
2015-03-23,13.71,14.43,13.18,13.84999,22556400,9.23333
2015-03-16,12.81,13.86,12.64999,13.70,21958400,9.13333
2015-03-09,12.87,13.08,12.16999,12.64001,10097200,8.42667
2015-03-02,12.29,13.27999,12.16001,13.00,16335800,8.66667
2015-02-23,11.98001,12.30,11.73,12.18,7263100,8.12
2015-02-16,11.75,12.28001,11.67,11.98001,5092500,7.98667
2015-02-09,11.10,11.65001,10.84,11.64,8493100,7.76
2015-02-02,10.60001,11.73,10.51,11.14001,13638200,7.42667
2015-01-26,10.70,11.28,10.63,10.75,10029200,7.16667
2015-01-19,10.39999,11.26999,10.29,10.71,15743700,7.14
2015-01-12,9.40001,10.84999,9.08,10.63,17762900,7.08667
2015-01-05,9.10001,9.87,8.92999,9.47,9252600,6.31333
2015-01-01,9.12,9.12,9.12,9.12,000,6.08
