Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,6.43,6.44,5.90,6.03,94838000,6.03
2015-12-28,6.66,6.67,6.41,6.44,73151300,6.44
2015-12-21,6.58,6.76,6.55,6.70,138777300,6.70
2015-12-14,6.42,6.77,6.39,6.61,95259500,6.61
2015-12-07,6.62,6.67,6.40,6.44,74864400,6.44
2015-11-30,6.24,6.89,6.21,6.61,211686400,6.61
2015-11-23,6.66,6.70,6.18,6.22,99695300,6.22
2015-11-16,6.54,6.83,6.53,6.68,126770900,6.68
2015-11-09,6.66,7.15,6.62,6.64,255474000,6.64
2015-11-02,6.30,6.70,6.16,6.60,179972200,6.60
2015-10-26,6.52,6.56,6.33,6.35,89422900,6.35
2015-10-19,6.38,6.77,6.29,6.49,185446400,6.49
2015-10-12,6.25,6.44,6.21,6.35,101789400,6.35
2015-10-05,6.08,6.27,6.08,6.22,34089700,6.22
2015-09-28,6.20,6.21,6.06,6.08,33997600,6.08
2015-09-21,6.15,6.32,6.09,6.27,90309100,6.27
2015-09-14,6.29,6.59,6.09,6.19,207375500,6.19
2015-09-07,6.73,6.73,6.03,6.27,210299700,6.27
2015-08-31,5.72,7.00,5.58,6.96,493309000,6.96
2015-08-24,5.99,5.99,5.03,5.82,457715500,5.82
2015-08-17,6.78,6.82,6.11,6.13,264433800,6.13
2015-08-10,6.78,7.05,6.72,6.78,239328900,6.78
2015-08-03,6.75,7.00,6.72,6.80,213288400,6.80
2015-07-27,7.50,7.57,6.68,6.84,419223100,6.84
2015-07-20,7.98,8.00,7.62,7.63,392364900,7.63
2015-07-13,8.25,8.48,7.70,8.00,724794200,8.00
2015-07-06,8.70,9.18,7.50,8.50,1441877900,8.50
2015-06-29,7.65,8.79,6.90,7.92,1152554600,7.92
2015-06-22,7.58,8.39,7.09,7.39,599004000,7.39
2015-06-15,8.83,9.58,7.55,7.58,1094638500,7.58
2015-06-08,8.29,9.70,8.14,8.89,1118215900,8.89
2015-06-01,6.83,8.48,6.76,8.13,1249097400,8.13
2015-05-25,6.92,7.11,6.65,6.82,464999700,6.57316
2015-05-18,6.57,6.90,6.50,6.89,350806500,6.64063
2015-05-11,6.63,6.83,6.56,6.62,379585600,6.3804
2015-05-04,6.94,7.12,6.52,6.65,365936900,6.40932
2015-04-27,6.85,7.41,6.85,6.92,499121400,6.66954
2015-04-20,7.32,7.32,6.73,6.81,609796900,6.56353
2015-04-13,6.94,7.38,6.80,7.23,672579200,6.96832
2015-04-06,6.40,6.82,6.40,6.78,562815600,6.53461
2015-03-30,6.36,6.65,6.33,6.40,453571100,6.16837
2015-03-23,6.55,6.60,6.20,6.32,393422500,6.09126
2015-03-16,6.32,6.61,6.23,6.48,429238100,6.24547
2015-03-09,5.85,6.49,5.75,6.29,465100500,6.06235
2015-03-02,6.09,6.12,5.61,5.83,266174200,5.61899
2015-02-23,6.10,6.16,5.95,6.08,112867500,5.85995
2015-02-16,6.12,6.15,6.04,6.10,54074500,5.87922
2015-02-09,5.89,6.22,5.82,6.11,169428500,5.88886
2015-02-02,6.08,6.35,5.84,5.90,266469600,5.68646
2015-01-26,6.83,6.86,6.22,6.23,319093900,6.00452
2015-01-19,6.54,7.10,6.31,6.86,534738700,6.61172
2015-01-12,6.47,7.39,6.33,7.21,395936400,6.94905
2015-01-05,6.98,7.33,6.42,6.50,533108100,6.26475
2015-01-01,6.80,6.80,6.80,6.80,000,6.55389
