Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,85.89,85.90,66.02,70.10,1459200,70.10
2015-12-28,93.50,94.98,85.72,86.12,2011400,86.12
2015-12-21,87.50,96.38,86.18,94.76,2525600,94.76
2015-12-14,81.50,91.72,81.11,88.50,1991400,88.50
2015-12-07,93.20,97.49,84.00,84.00,3593700,84.00
2015-11-30,84.00,96.89,81.00,92.00,4433200,92.00
2015-11-23,85.20,93.99,81.00,83.53,3732400,83.53
2015-11-16,83.88,91.99,79.00,86.50,2807900,86.50
2015-11-09,85.80,104.00,84.00,91.44,3668700,91.44
2015-11-02,77.00,88.00,75.75,86.87,3160800,86.87
2015-10-26,81.00,82.28,71.00,79.97,2841100,79.97
2015-10-19,69.00,80.10,66.00,80.10,3891600,80.10
2015-10-12,56.08,73.49,55.53,69.16,3654700,69.16
2015-10-05,51.67,55.60,51.67,54.88,826400,54.88
2015-09-28,49.00,53.10,48.35,51.67,1064000,51.67
2015-09-21,49.51,54.39,48.50,48.88,2868600,48.88
2015-09-14,49.88,51.96,40.88,50.67,2578000,50.67
2015-09-07,42.50,51.39,42.01,49.84,2226600,49.84
2015-08-31,48.96,49.77,39.16,41.11,1292800,41.11
2015-08-24,50.02,50.90,41.52,50.50,2573200,50.50
2015-08-17,67.99,68.51,52.88,53.51,2252300,53.51
2015-08-10,69.00,73.58,67.00,68.93,2909700,68.93
2015-08-03,64.00,68.44,58.90,67.83,3290200,67.83
2015-07-27,72.26,78.00,58.12,65.59,4146500,65.59
2015-07-20,66.33,80.29,64.50,74.81,4176700,74.81
2015-07-13,56.62,66.33,52.10,66.33,3394700,66.33
2015-07-06,60.59,60.59,42.54,51.47,3076500,51.47
2015-06-29,75.25,75.89,52.33,55.08,3248800,55.08
2015-06-22,82.30,93.80,75.01,75.01,2339300,75.01
2015-06-15,101.93,101.93,80.03,82.30,2825100,82.30
2015-06-08,110.95,114.26,97.58,103.55,3623900,103.55
2015-06-01,127.16,130.20,105.01,110.07,4481500,110.07
2015-05-25,126.00,168.48,120.99,130.73,6972000,130.46
2015-05-18,125.00,144.35,120.10,133.22,6959800,132.94
2015-05-11,80.78,119.30,79.78,119.30,7821500,119.05
2015-05-04,55.37,81.07,55.37,81.07,4923500,80.90
2015-04-27,37.82,50.34,37.82,50.34,11100,50.23
2015-04-23,28.64,34.38,28.64,34.38,12200,34.31
