Date,Open,High,Low,Close,Volume,Adj Close,I,j,RSV,K,D,J,KDJ_s,X,A,B,RSI,RSI_s,F,FI,FI_s,EMA,EMA_s,close_s,signal,price,buy,sell,profit
2015-02-17,25.69,30.83,25.69,30.83,2800,30.67,,,,50.0,50.0,0.0,0.0,-66.83,0.0,0.0,0.0,0.0,-1716.8627,0.0,0.0,0.0,0.0,0.0,0.0,30.67,0.0,0.0,0.0
2015-02-23,30.83,41.03,30.83,41.03,2500,40.82,,,,50.0,50.0,0.0,0.0,10.15,0.0,0.0,0.0,0.0,312.9245,0.0,0.0,0.0,0.0,1.0,0.0,40.82,0.0,0.0,0.0
2015-03-02,45.13,66.07,45.13,62.23,2851100,61.91,,,,50.0,50.0,0.0,0.0,21.09,0.0,0.0,0.0,0.0,951.7917,0.0,0.0,0.0,0.0,1.0,0.0,61.91,0.0,0.0,0.0
2015-03-09,56.1,58.85,53.73,56.07,3602600,55.78,,,,50.0,50.0,0.0,0.0,-6.13,0.0,0.0,0.0,0.0,-329.3649,0.0,0.0,0.0,0.0,0.0,0.0,55.78,0.0,0.0,0.0
2015-03-16,57.19,62.5,56.5,61.02,2792600,60.71,,,,50.0,50.0,0.0,0.0,4.93,0.0,0.0,0.0,0.0,278.545,0.0,0.0,37.836,1.0,1.0,0.0,60.71,0.0,0.0,0.0
2015-03-23,61.29,70.62,60.31,65.1,2806100,64.77,39.08,40.38,96.7805844477,65.5935281492,55.1978427164,86.3848990149,1.0,4.06,36.17,-72.96,33.1439567488,1.0,244.8586,267.3162,1.0,46.814,1.0,1.0,1.0,64.77,64.77,0.0,0.0
2015-03-30,64.3,65.85,60.13,65.4,1644500,65.07,34.24,39.79,86.051771802,72.4129427002,60.9362093777,95.3664093451,1.0,0.3,40.23,-6.13,86.7773943054,1.0,18.039,169.252066667,0.0,52.8993333333,1.0,1.0,0.0,65.07,0.0,0.0,0.0
2015-04-06,65.4,72.25,62.88,70.0,1940200,69.64,24.51,25.49,96.1553550412,80.3270801472,67.3998329675,106.181574507,1.0,4.57,30.38,-6.13,83.2100794303,0.0,287.3616,107.8132,0.0,58.4795555556,1.0,1.0,0.0,69.64,0.0,0.0,0.0
2015-04-13,69.0,75.58,66.0,67.0,1676400,66.66,12.93,18.52,69.8164146868,76.8235249937,70.5410636429,89.3884476953,0.0,-2.98,13.86,-6.13,69.3346673337,0.0,-196.68,126.0144,1.0,61.2063703704,1.0,0.0,0.0,66.66,0.0,0.0,0.0
2015-04-20,67.03,70.38,64.37,68.24,1465400,67.89,11.39,19.08,59.6960167715,71.1143555863,70.7321609574,71.8787448442,0.0,1.23,13.86,-2.98,82.3040380048,1.0,79.1751,-104.7283,0.0,63.4342469136,1.0,1.0,0.0,67.89,0.0,0.0,0.0
2015-04-27,71.0,82.66,70.11,78.3,2381600,77.9,17.77,15.45,115.01618123,85.7482974675,75.7375397941,105.769812814,1.0,10.01,10.16,-2.98,77.3211567732,0.0,701.8011,286.7171,1.0,68.2561646091,1.0,1.0,0.0,77.9,0.0,0.0,0.0
2015-05-04,77.03,81.0,72.18,79.27,1853900,78.87,18.74,22.53,83.177984909,84.8915266146,78.7888687343,97.0968423754,0.0,0.97,16.11,-2.98,84.3897328444,1.0,70.0146,491.2056,1.0,71.7941097394,1.0,1.0,0.0,78.87,0.0,0.0,0.0
2015-05-11,79.7,100.0,79.3,94.4,2510900,93.92,31.04,19.78,156.926188069,108.903080433,88.8269393004,149.055362697,1.0,15.05,16.78,-2.98,84.9190283401,1.0,1193.465,444.498066667,0.0,79.1694064929,1.0,1.0,0.0,93.92,0.0,0.0,0.0
2015-05-18,94.88,105.6,94.88,100.1,2216700,100.1,35.73,35.63,100.280662363,106.028941076,94.5609398923,128.964943444,0.0,6.18,27.26,-2.98,90.1455026455,1.0,586.3584,991.096133333,1.0,86.1462709953,1.0,1.0,0.0,100.1,0.0,0.0,0.0
2015-05-25,96.8,138.0,95.55,117.78,2273900,117.78,53.41,41.23,129.541595925,113.866492693,100.996124159,139.60722976,1.0,17.68,33.44,0.0,100.0,1.0,1689.324,954.0136,0.0,96.6908473302,1.0,1.0,0.0,117.78,0.0,0.0,0.0
2015-06-01,117.98,122.81,103.86,107.4,1605500,107.4,37.29,67.89,54.9270879364,94.2200244405,98.7374242529,85.1852248157,0.0,-10.38,49.89,0.0,100.0,0.0,-1078.0668,766.8604,0.0,100.260564887,1.0,0.0,0.0,107.4,0.0,0.0,0.0
2015-06-08,106.68,108.45,96.66,103.52,1427200,103.52,31.34,65.82,47.6147067761,78.6849185523,92.053255686,51.948244285,0.0,-3.88,39.88,-10.38,79.3473935535,0.0,-375.0408,-843.7248,0.0,101.347043258,1.0,0.0,0.0,103.52,0.0,0.0,0.0
2015-06-15,104.0,104.0,86.1,89.01,1188000,89.01,9.71,58.7,16.5417376491,57.9705249179,80.69234543,12.5268838938,0.0,-14.51,38.91,-14.26,73.1803648674,0.0,-1249.311,-666.4642,1.0,97.2346955052,0.0,0.0,0.0,89.01,0.0,0.0,0.0
2015-06-22,89.01,100.88,84.61,84.61,1134700,84.61,-1.49,51.9,-2.87090558767,37.6900480827,66.3582463142,-19.6463483803,0.0,-4.4,23.86,-28.77,45.3353600608,0.0,-372.284,-956.968666667,0.0,93.0264636702,0.0,0.0,-1.0,84.61,0.0,84.61,0.306314651845
2015-06-29,86.0,86.05,62.26,67.3,1585700,67.3,-17.31,53.39,-32.4218018355,14.3194314433,49.0119746906,-55.0656550513,0.0,-17.31,17.68,-33.17,34.7689282203,0.0,-1077.7206,-607.429533333,1.0,84.4509757801,0.0,0.0,0.0,67.3,0.0,0.0,0.0
2015-07-06,74.03,74.03,49.0,62.74,1386700,62.74,0.48,60.55,0.792733278282,9.81053205496,35.9448271454,-42.4580581259,1.0,-4.56,0.0,-50.48,0.0,0.0,-223.44,-792.9604,0.0,77.2139838534,0.0,0.0,0.0,62.74,0.0,0.0,0.0
2015-07-13,68.88,75.5,58.07,70.32,2032200,70.32,21.32,59.45,35.8620689655,18.4943776918,30.1280106609,-4.77288824628,1.0,7.58,0.0,-44.66,0.0,0.0,440.1706,-2.23646666667,1.0,74.9159892356,0.0,1.0,0.0,70.32,0.0,0.0,0.0
