Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,75.55,76.60,54.00,59.06,2030900,59.06
2015-12-28,81.20,81.88,75.13,75.55,1484800,75.55
2015-12-21,78.87,81.99,75.99,80.98,2289700,80.98
2015-12-14,75.15,82.19,74.50,78.50,2330500,78.50
2015-12-07,84.62,85.50,76.80,76.82,2748700,76.82
2015-11-30,79.56,88.48,77.00,83.59,4120000,83.59
2015-11-23,81.86,98.86,80.14,80.44,7286000,80.44
2015-11-16,77.08,85.97,77.00,81.70,4078200,81.70
2015-11-09,84.00,95.57,80.00,81.03,7694000,81.03
2015-11-02,64.44,83.26,63.00,83.26,6162800,83.26
2015-10-26,68.25,72.54,65.51,66.34,4553900,66.34
2015-10-19,69.71,76.48,63.00,67.72,7459100,67.72
2015-10-12,64.01,73.96,63.89,69.74,8616200,69.74
2015-10-05,62.33,65.98,62.01,64.16,1626700,64.16
2015-09-28,62.90,65.80,57.93,62.33,3982800,62.33
2015-09-21,60.98,74.54,60.98,63.57,7187900,63.57
2015-09-14,103.28,103.28,67.76,67.76,533700,67.76
2015-09-07,134.00,159.00,114.75,114.75,4847600,114.75
2015-08-31,133.00,139.38,126.59,135.36,1736200,135.36
2015-08-24,135.00,139.00,120.95,135.23,2799000,135.23
2015-08-17,129.60,139.86,125.00,132.60,3807700,132.60
2015-08-10,130.00,143.00,121.99,128.03,4240600,128.03
2015-08-03,125.00,140.28,116.99,129.86,5254100,129.86
2015-07-27,133.53,141.00,115.73,131.03,5000900,131.03
2015-07-20,114.80,137.50,107.10,136.45,3867400,136.45
2015-07-13,120.00,133.33,111.28,122.50,4158200,122.50
2015-07-06,103.96,116.83,83.66,116.83,2501100,116.83
2015-06-29,112.65,115.56,81.50,94.51,3318600,94.51
2015-06-22,97.94,119.60,89.95,111.88,4630800,111.88
2015-06-15,91.60,104.50,89.66,98.86,4306000,98.86
2015-06-08,81.00,98.11,78.00,93.20,5080800,93.20
2015-06-01,93.90,94.70,77.42,81.61,3588300,81.61
2015-05-25,80.00,102.80,77.99,95.98,7866800,95.98
2015-05-18,63.11,92.00,63.00,84.35,5953100,84.35
2015-05-11,50.12,69.58,50.03,64.87,8360000,64.87
2015-05-04,46.17,58.30,42.70,52.27,8561500,52.27
2015-04-27,32.81,48.62,32.81,47.43,6222200,47.43
2015-04-20,29.10,35.88,28.18,33.21,6070400,33.21
2015-04-13,31.00,31.95,28.21,29.13,2709000,29.13
2015-04-06,30.30,31.78,29.80,30.72,2632700,30.72
2015-03-30,29.15,30.99,28.47,30.30,2441900,30.30
2015-03-23,29.33,30.10,27.50,29.42,3190700,29.42
2015-03-16,25.23,29.88,25.08,29.30,5265200,29.30
2015-03-09,24.90,25.01,24.05,24.96,1795100,24.96
2015-03-02,25.60,26.64,25.02,25.03,3188800,25.03
2015-02-23,25.31,25.69,25.03,25.58,1329600,25.58
2015-02-16,25.98,25.98,25.30,25.31,1248500,25.31
2015-02-09,28.13,30.93,25.28,25.94,5481800,25.94
2015-02-02,26.08,36.00,26.08,31.25,1355600,31.25
2015-01-26,16.19,23.71,16.19,23.71,91500,23.71
2015-01-23,14.72,14.72,14.72,14.72,44400,14.72
