Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,57.70,57.70,41.50,44.00,1187500,44.00
2015-12-28,62.30,63.09,57.50,57.79,832700,57.79
2015-12-21,62.40,63.28,59.35,60.96,1443100,60.96
2015-12-14,55.18,66.38,54.00,62.67,1996300,62.67
2015-12-07,59.45,61.49,55.32,56.08,1638600,56.08
2015-11-30,59.20,63.23,53.00,59.02,2707500,59.02
2015-11-23,63.70,68.79,59.00,59.86,3040500,59.86
2015-11-16,65.70,69.98,60.01,64.05,3557000,64.05
2015-11-09,53.00,79.45,52.89,69.04,4570000,69.04
2015-11-02,44.00,54.40,43.50,53.86,2824800,53.86
2015-10-26,44.50,47.28,42.00,45.12,2481800,45.12
2015-10-19,43.80,45.50,39.19,42.56,2679100,42.56
2015-10-12,37.40,44.00,37.40,43.31,2692000,43.31
2015-10-05,35.07,37.45,35.07,37.20,600200,37.20
2015-09-28,34.75,37.00,34.34,35.07,750300,35.07
2015-09-21,32.79,40.58,32.07,34.60,2562200,34.60
2015-09-14,69.90,70.38,31.30,33.07,1302300,33.07
2015-09-07,59.80,71.49,59.80,70.10,1400600,35.05
2015-08-31,71.80,71.80,55.33,58.35,731800,29.175
2015-08-24,75.80,77.00,61.80,72.85,1508300,36.425
2015-08-17,100.00,100.60,79.00,80.00,1587800,40.00
2015-08-10,93.00,104.00,91.02,101.28,2265600,50.64
2015-08-03,88.03,92.10,82.35,91.80,1928300,45.90
2015-07-27,104.00,111.75,86.08,91.50,2442500,45.75
2015-07-20,98.60,116.97,93.00,107.03,3119700,53.515
2015-07-13,77.90,100.01,74.78,99.80,2815500,49.90
2015-07-06,82.72,82.72,58.41,70.82,1944000,35.41
2015-06-29,112.80,113.98,75.20,75.20,1578100,37.60
2015-06-22,126.36,136.80,109.89,109.89,1233800,54.945
2015-06-15,179.60,181.00,126.36,126.36,1925700,63.18
2015-06-08,189.00,199.98,168.50,185.98,4510700,92.99
2015-06-01,212.00,219.87,166.01,190.33,5310300,95.003
2015-05-25,175.53,233.63,175.53,220.00,2704200,109.813
2015-05-18,108.98,159.57,108.98,159.57,225800,79.649
2015-05-11,67.66,99.07,67.66,99.07,64200,49.451
2015-05-04,42.02,61.51,42.02,61.51,171200,30.703
2015-04-27,28.70,38.20,28.70,38.20,6000,19.067
2015-04-24,23.91,26.09,23.91,26.09,14400,13.023
