Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,36.67,36.67,27.01,28.36,3392700,28.36
2015-12-28,38.30,38.30,34.00,36.49,2763200,36.49
2015-12-21,37.80,40.19,36.10,37.30,4306200,37.30
2015-12-14,32.55,39.60,32.20,37.60,5061600,37.60
2015-12-07,32.86,36.08,31.29,32.85,4622300,32.85
2015-11-30,30.10,33.70,28.14,32.80,4121800,32.80
2015-11-23,30.58,34.25,29.55,30.39,4559600,30.39
2015-11-16,29.00,31.18,28.68,30.48,3384400,30.48
2015-11-09,29.70,33.28,28.91,30.18,4528200,30.18
2015-11-02,28.00,30.84,27.50,30.33,3919800,30.33
2015-10-26,32.00,32.00,28.00,28.51,5132000,28.51
2015-10-19,25.15,35.50,24.22,32.80,9051000,32.80
2015-10-12,22.80,25.59,22.78,25.11,1721300,25.11
2015-10-05,21.40,22.82,21.40,22.72,482300,22.72
2015-09-28,20.90,21.66,20.73,21.40,475800,21.40
2015-09-21,20.18,21.90,20.01,20.90,1226900,20.90
2015-09-14,21.29,21.38,17.71,20.67,1436000,20.67
2015-09-07,18.54,21.50,18.34,21.20,1358900,21.20
2015-08-31,20.84,20.84,17.01,18.06,844600,18.06
2015-08-24,20.75,21.98,17.50,20.95,2152100,20.95
2015-08-17,27.68,27.79,22.12,22.23,1589200,22.23
2015-08-10,27.01,28.49,25.70,27.70,2091700,27.70
2015-08-03,23.89,27.20,22.74,27.17,2231000,27.17
2015-07-27,25.00,25.60,20.82,23.93,2423400,23.93
2015-07-20,25.20,27.59,24.01,25.70,2525100,25.70
2015-07-13,23.27,25.83,20.60,25.56,3341600,25.56
2015-07-06,24.50,24.59,16.57,21.15,3758200,21.15
2015-06-29,33.00,33.00,22.73,22.73,3214000,22.73
2015-06-22,33.64,37.75,31.49,31.86,1934800,31.86
2015-06-15,42.02,42.32,33.64,33.64,2393000,33.64
2015-06-08,38.85,44.02,36.78,42.60,3139500,42.60
2015-06-01,40.20,42.61,36.63,38.83,3610900,38.83
2015-05-25,34.90,44.33,33.00,40.05,5525600,40.05
2015-05-18,30.80,37.44,30.31,35.33,4077300,35.33
2015-05-11,35.60,38.38,29.69,30.72,3746900,30.72
2015-05-04,36.46,36.99,33.49,35.19,2120600,28.025
2015-04-27,36.60,38.56,35.85,36.18,1705700,28.814
2015-04-20,36.80,38.60,35.51,36.40,2645700,28.989
2015-04-13,41.03,41.75,35.52,36.70,2616000,29.228
2015-04-06,38.82,42.60,36.01,41.04,3245400,32.684
2015-03-30,34.02,38.82,31.82,38.82,4007900,30.916
2015-03-23,32.04,36.27,31.26,34.14,3662600,27.189
2015-03-16,29.48,32.00,29.38,31.84,2633400,25.357
2015-03-09,29.10,30.09,28.60,29.48,1195000,23.478
2015-03-02,29.40,31.70,29.11,29.28,1689200,23.319
2015-02-23,28.62,29.86,28.62,29.45,742000,23.454
2015-02-16,28.48,29.14,28.39,28.62,283100,22.793
2015-02-09,27.41,28.72,26.35,28.50,650000,22.697
2015-02-02,28.00,29.77,27.23,27.47,1136600,21.877
2015-01-26,27.94,29.25,27.93,28.14,904300,22.411
2015-01-19,26.52,28.82,26.31,28.00,1283800,22.299
2015-01-12,27.69,27.83,25.11,26.61,626800,21.192
2015-01-05,25.96,28.99,25.63,27.81,763600,22.148
2015-01-01,26.59,26.59,26.59,26.59,000,21.176
