Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,36.30,37.95,24.55,27.20,4774000,27.20
2015-12-28,36.43,39.30,35.18,36.32,3406900,36.32
2015-12-21,33.65,38.35,32.89,37.14,5176200,37.14
2015-12-14,31.79,34.99,31.20,33.79,2780100,33.79
2015-12-07,33.89,34.10,31.35,31.98,3190600,31.98
2015-11-30,30.20,35.23,28.28,33.89,4951500,33.89
2015-11-23,29.28,34.96,29.16,30.29,6649400,30.29
2015-11-16,27.80,29.98,27.66,29.46,3335100,29.46
2015-11-09,29.50,31.00,28.00,28.79,4539300,28.79
2015-11-02,25.15,28.60,24.00,28.38,3880500,28.38
2015-10-26,24.99,27.99,23.80,26.40,5019300,26.40
2015-10-19,24.26,25.77,21.61,25.39,5241200,25.39
2015-10-12,20.15,24.47,20.15,24.28,4516100,24.28
2015-10-05,18.33,20.47,18.33,20.10,1068500,20.10
2015-09-28,18.03,19.09,17.67,18.33,903100,18.33
2015-09-21,17.19,19.15,16.81,18.00,2417100,18.00
2015-09-14,19.75,19.75,15.26,17.29,3733200,17.29
2015-09-07,18.53,20.39,16.84,19.48,5735900,19.48
2015-08-31,21.74,21.74,18.10,18.48,1579700,18.48
2015-08-24,25.50,25.50,18.16,21.83,3458300,21.83
2015-08-17,29.00,30.78,25.73,26.40,2926300,26.40
2015-08-10,27.60,29.49,26.85,29.00,3018500,29.00
2015-08-03,23.77,27.72,21.50,27.38,3507100,27.38
2015-07-27,27.00,28.45,21.98,23.79,3508600,23.79
2015-07-20,25.50,30.99,24.00,27.82,5021400,27.82
2015-07-13,23.55,26.19,21.50,25.60,5323400,25.60
2015-07-06,26.22,26.22,17.00,21.41,4808800,21.41
2015-06-29,34.38,35.68,23.84,23.84,3180500,23.84
2015-06-22,39.00,40.99,33.93,33.93,3215500,33.93
2015-06-15,44.60,45.30,38.23,39.00,3313200,39.00
2015-06-08,45.18,46.10,41.50,44.43,4168500,44.43
2015-06-01,46.45,50.60,43.83,45.60,4672700,45.60
2015-05-25,38.10,48.32,37.62,45.20,5700100,45.20
2015-05-18,37.70,41.66,36.58,39.20,4460400,39.20
2015-05-11,37.99,39.00,34.60,37.72,4939100,37.72
2015-05-04,37.55,38.80,33.00,36.98,3041500,36.98
2015-04-27,33.97,38.89,31.52,38.05,3625200,38.05
2015-04-20,28.70,34.92,27.20,33.70,4834100,33.70
2015-04-13,30.69,31.83,27.12,28.80,3069900,28.80
2015-04-06,32.48,33.58,28.41,30.61,3093000,30.61
2015-03-30,25.85,32.48,24.98,32.48,4260000,32.48
2015-03-23,25.98,26.89,24.11,25.87,3570300,25.87
2015-03-16,24.27,25.98,23.53,25.98,4419700,25.98
2015-03-09,20.69,24.79,20.32,24.28,5437200,24.28
2015-03-02,20.20,20.93,20.07,20.73,2552300,20.73
2015-02-23,20.09,20.51,19.90,20.30,973200,20.30
2015-02-16,19.26,20.22,19.11,20.09,1005300,20.09
2015-02-09,18.50,19.45,18.39,19.19,1844700,19.19
2015-02-02,18.54,19.66,18.32,18.50,1876900,18.50
2015-01-26,18.75,19.58,18.56,18.90,2085800,18.90
2015-01-19,17.66,19.28,17.25,18.75,2741400,18.75
2015-01-12,17.80,17.89,17.02,17.86,1585300,17.86
2015-01-05,17.61,18.50,17.20,17.89,2432100,17.89
2015-01-01,18.00,18.00,18.00,18.00,000,18.00
