Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,7.53,7.60,6.05,6.47,9729500,6.47
2015-12-28,7.66,7.82,7.41,7.53,8107600,7.53
2015-12-21,7.87,7.95,7.48,7.58,13916100,7.58
2015-12-14,7.83,8.16,7.80,7.88,20903900,7.88
2015-12-07,8.10,8.28,7.68,7.95,23138700,7.95
2015-11-30,6.98,8.85,6.98,8.19,56086100,8.19
2015-11-23,7.35,7.78,6.93,7.05,21445700,7.05
2015-11-16,7.01,7.45,6.96,7.36,12861700,7.36
2015-11-09,7.30,7.54,7.08,7.16,16116500,7.16
2015-11-02,7.20,7.47,6.72,7.40,22586900,7.40
2015-10-26,6.85,7.63,6.61,7.35,17452900,7.35
2015-10-19,7.08,7.23,6.40,6.80,16724800,6.80
2015-10-12,6.35,7.29,6.30,7.15,19170600,7.15
2015-10-05,5.82,6.72,5.82,6.42,8879500,6.42
2015-09-28,5.80,5.86,5.70,5.82,2840100,5.82
2015-09-21,5.78,6.12,5.72,5.78,8622700,5.78
2015-09-14,6.48,6.48,5.51,5.82,10493700,5.82
2015-09-07,6.28,6.74,6.09,6.41,11685600,6.41
2015-08-31,6.77,6.82,5.73,6.07,10134500,6.07
2015-08-24,6.95,7.00,5.68,6.84,21580200,6.84
2015-08-17,8.67,9.30,7.13,7.26,29513400,7.26
2015-08-10,7.37,9.18,7.31,8.83,51879200,8.83
2015-08-03,7.30,7.47,6.78,7.30,15672500,7.30
2015-07-27,7.78,8.07,6.60,7.32,25472600,7.32
2015-07-20,7.62,8.38,7.40,7.87,31969600,7.87
2015-07-13,6.89,7.80,6.27,7.63,32267700,7.63
2015-07-06,7.76,7.76,5.17,6.26,28918200,6.26
2015-06-29,10.98,11.25,7.07,7.07,26773300,7.07
2015-06-22,26.42,27.95,10.86,10.86,28712500,5.32
2015-06-15,26.94,29.55,25.30,26.42,46980200,12.942
2015-06-08,25.70,27.80,23.80,26.99,38253600,13.222
2015-06-01,22.75,26.81,22.50,25.86,40630700,12.668
2015-05-25,21.90,26.35,21.40,22.74,51091700,11.14
2015-05-18,18.88,22.33,18.71,22.14,32637300,10.846
2015-05-11,18.30,20.49,18.30,18.92,23038200,9.268
2015-05-04,18.86,19.08,17.16,18.00,14043300,8.818
2015-04-27,19.21,19.93,18.51,18.90,14432200,9.259
2015-04-20,19.17,20.16,18.05,19.10,25276100,9.357
2015-04-13,22.50,23.70,18.41,19.26,42388200,9.435
2015-04-06,18.59,21.63,18.59,21.63,33066500,10.596
2015-03-30,16.92,18.88,16.53,18.59,25597400,9.107
2015-03-23,15.20,17.68,15.00,16.79,36807700,8.225
2015-03-16,13.18,15.08,13.18,14.99,29144200,7.343
2015-03-09,12.54,13.28,12.36,12.95,18124000,6.344
2015-03-02,12.34,12.92,12.00,12.57,24581800,6.158
2015-02-23,12.07,12.37,11.90,12.29,8471900,6.021
2015-02-16,11.96,12.08,11.86,12.07,4711300,5.913
2015-02-09,11.37,12.07,11.23,11.92,10380000,5.839
2015-02-02,11.75,12.07,11.32,11.37,14131700,5.57
2015-01-26,10.96,12.95,10.95,11.89,34574800,5.825
2015-01-19,10.51,11.24,10.04,10.95,14566900,5.364
2015-01-12,10.45,10.86,10.32,10.74,7694100,5.261
2015-01-05,10.77,11.15,10.48,10.54,12454600,5.163
2015-01-01,10.60,10.60,10.60,10.60,000,5.193
